Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.058,-0.042,0.077,0.075,0.011,0.063,0.029,-0.059,0.056,0.013,0.039,-0.053,-0.075,-0.003,-0.06,-0.042,0.005
2,0.001,-0.027,-0.027,0.089,-0.099,-0.034,0.083,0.042,0.033,-0.073,0.035,0.077,0.019,-0.032,-0.022,0.034,0.006
3,-0.02,0.091,0.066,-0.035,-0.007,0.034,-0.013,-0.036,-0.024,-0.02,-0.002,0.022,0.045,0.02,0.054,-0.092,0.005
4,0.065,-0.041,-0.065,-0.093,-0.038,-0.077,0.01,-0.023,0.076,0.088,0.03,-0.029,-0.087,-0.024,-0.016,-0.007,-0.014
5,-0.019,0.089,-0.029,-0.077,-0.028,-0.06,0.059,0.051,-0.013,-0.047,-0.008,0.014,-0.07,-0.051,0.06,0.002,-0.008
6,0.027,0.01,0.066,-0.006,0.027,0.03,0,0.08,0.085,0.01,0.072,0.08,0.017,-0.037,0.033,-0.078,0.026
7,0.033,0.048,-0.025,0.042,-0.041,0.079,-0.002,0.03,-0.077,0.011,-0.025,-0.038,0,-0.022,0.025,-0.042,0
8,-0.093,0.059,-0.048,0.085,0.074,0.092,-0.078,0.028,0.082,-0.097,0.053,-0.088,0.027,0.065,0.091,-0.086,0.01
9,0.009,-0.099,-0.047,0.025,-0.042,-0.071,-0.027,-0.061,0.032,-0.031,-0.006,-0.089,0.049,0.013,-0.095,0.002,-0.027
10,-0.02,-0.011,0.028,0.01,-0.022,0.026,0.004,-0.022,-0.033,0.015,0.038,0,-0.085,0.031,-0.083,0.046,-0.005
11,-0.076,-0.065,-0.033,-0.089,0.023,0.093,0.07,-0.086,0.081,0.023,-0.089,0.067,-0.065,0.055,-0.06,-0.042,-0.012
12,0.035,-0.025,0.083,-0.057,0.072,-0.013,0.065,-0.025,0.066,0.033,-0.082,-0.058,-0.035,-0.089,-0.066,-0.032,-0.008
13,-0.045,-0.037,0.052,0.067,-0.045,0.053,0.097,-0.09,0.084,-0.019,-0.086,0.016,0.075,0.064,-0.006,-0.057,0.008
14,-0.042,-0.016,0.079,0.073,0.034,0.011,-0.075,-0.04,-0.081,-0.016,0.079,0.09,0.006,-0.066,-0.035,-0.053,-0.003
15,-0.012,-0.069,0.099,-0.052,0.061,0.01,0.072,-0.007,-0.047,-0.09,-0.027,-0.099,-0.073,0.023,0.009,-0.07,-0.017
16,-0.01,-0.018,-0.061,-0.001,0.009,0.093,-0.05,0.006,-0.055,0.09,-0.006,-0.03,0.062,0.094,0.075,0.012,0.013
17,0.068,0.042,0.069,-0.041,-0.059,0.055,-0.028,-0.037,-0.015,0.086,0.07,-0.013,-0.038,0.062,-0.009,0.067,0.017
18,0.082,-0.039,0.076,0,0.068,-0.06,0.025,-0.013,-0.029,0.028,0.009,0.088,-0.079,-0.008,0.066,0.076,0.018
19,-0.021,0.037,0.033,0.022,-0.019,0.095,0.01,0.024,0.015,-0.068,-0.022,0.077,-0.034,-0.084,0.083,0.079,0.014
20,-0.023,0.093,0.071,-0.094,0.05,-0.077,-0.083,0.028,0.086,0.066,0.098,0.076,0.006,0.035,-0.03,-0.053,0.016
21,0.012,-0.1,0.093,0.099,0.011,0.052,0.025,0.062,-0.035,-0.069,0.005,-0.043,-0.009,0.099,0.004,-0.003,0.013
22,-0.039,-0.003,0.086,0.085,0.034,0.08,0.042,0.041,-0.045,-0.091,-0.065,-0.065,-0.083,-0.072,0.009,-0.098,-0.012
23,-0.04,-0.01,-0.076,0.037,0.011,0.087,0.034,0.079,0.043,0.059,0.076,-0.007,-0.011,0.064,-0.068,0.054,0.021
24,-0.02,-0.093,-0.096,-0.008,0.084,0.007,-0.056,-0.01,-0.024,-0.071,0.095,-0.054,0.033,-0.086,-0.022,-0.025,-0.022
25,-0.047,-0.098,-0.026,-0.032,0.014,0.091,0.015,0.01,0.085,-0.021,-0.044,-0.006,-0.068,0.004,0.06,-0.036,-0.006
26,-0.098,-0.036,-0.089,-0.073,-0.012,0.082,-0.046,0.082,0.067,0.077,0.061,-0.019,-0.048,0.074,0.001,-0.071,-0.003
27,-0.087,0.006,0.07,-0.079,-0.037,-0.028,0.014,-0.069,-0.071,-0.027,-0.059,-0.085,0.038,0.058,-0.051,-0.007,-0.026
28,0.049,0.04,-0.044,0.096,0.049,0.01,0.093,-0.03,0.048,0.08,-0.004,-0.063,0.074,-0.018,0.02,0.075,0.03
29,-0.089,0.022,0.068,-0.056,0.096,-0.032,0.009,-0.055,-0.005,0.099,-0.052,0.038,0.02,-0.045,-0.086,-0.084,-0.01
30,0.04,0.091,0.006,-0.062,0.067,-0.063,0.057,-0.091,-0.081,-0.028,-0.042,-0.076,0.047,-0.036,0.026,0.09,-0.003
31,-0.035,0.056,0.07,0.051,0.026,0.038,0.049,-0.05,0.093,-0.009,0.036,-0.022,0.03,-0.093,-0.036,0.07,0.017
32,0.06,0.07,-0.087,-0.029,0.028,-0.012,-0.09,0.05,0.029,-0.032,0.025,0.086,0.011,-0.034,-0.094,-0.099,-0.007
33,0.078,0.037,-0.001,-0.021,0.024,-0.089,0.014,-0.05,0.027,0.053,0.097,-0.04,0.009,-0.013,-0.051,0.021,0.006
34,-0.004,0.083,-0.043,-0.086,0.074,-0.074,-0.099,0.006,0.023,-0.038,-0.028,-0.055,0.057,-0.052,-0.078,-0.097,-0.026
35,-0.002,-0.016,-0.002,-0.051,-0.094,-0.099,0.036,-0.069,0.088,-0.089,-0.019,-0.065,0.006,-0.014,0.049,0.059,-0.018
36,-0.07,-0.02,0.073,-0.015,0.053,-0.098,0.002,-0.064,-0.099,0.077,0.012,-0.096,0.005,0.032,0.025,0.028,-0.01
37,-0.002,0.064,-0.029,0.029,-0.093,0.021,0.023,-0.063,-0.078,-0.012,-0.096,0.02,0.001,0.095,-0.059,0.082,-0.006
38,-0.062,-0.022,0.012,-0.022,-0.024,0.009,-0.029,-0.021,0.099,-0.06,0.088,-0.063,-0.05,0.027,0.039,-0.079,-0.01
39,0.089,0.025,0.064,-0.069,0.036,0.07,0.024,0.088,0.038,0.095,0.073,-0.082,0.042,-0.026,0.092,-0.029,0.033
40,0.08,-0.027,0.037,-0.023,0.004,-0.087,-0.046,0.07,-0.02,0.004,0.035,0.021,-0.058,-0.067,-0.065,0.077,-0.004
41,0.022,-0.031,0.063,-0.056,0.102,0.079,0.075,0.035,-0.084,-0.067,-0.02,-0.061,0.01,0.004,-0.035,0,0.002
42,-0.069,0.031,0.096,0.09,0.033,0.101,0.079,-0.086,0.046,0.1,0.006,-0.096,0.102,0.024,-0.092,-0.094,0.017
43,0.006,0.091,-0.048,-0.036,0.026,0.078,0.084,-0.026,-0.003,0.11,0.092,-0.049,-0.082,0.076,-0.076,0.001,0.015
44,-0.037,0.043,-0.096,-0.047,0.069,0.103,0.05,0.104,-0.081,0.083,0.02,-0.01,0.031,0.029,-0.023,0.066,0.019
45,0.014,-0.076,0.107,0.107,0.025,0.081,0.047,-0.091,-0.074,-0.072,-0.043,0.023,-0.051,0.093,-0.092,-0.048,-0.003
46,-0.071,-0.021,-0.025,0.1,0.005,0,-0.049,0.049,0.032,0.042,0.045,-0.044,0.01,0.084,-0.098,-0.013,0.003
47,-0.099,-0.031,0.06,0.023,0.059,0.065,-0.033,-0.075,0.033,-0.045,-0.007,-0.089,-0.026,-0.057,-0.027,0.062,-0.012
48,0.105,-0.072,-0.018,0.058,0.08,0.025,0.082,-0.039,-0.085,-0.077,-0.091,0.023,0.002,-0.006,0.062,0.046,0.006
49,0.06,-0.084,0.077,-0.063,0.003,0.093,-0.075,-0.049,-0.093,0.04,-0.053,0.002,-0.089,-0.084,0.108,-0.073,-0.018
50,-0.067,-0.042,-0.025,0.028,-0.014,0.021,-0.048,0.11,-0.051,0.045,0.05,-0.036,-0.007,0.096,0.025,0.104,0.012
51,0.034,-0.008,0.056,0.059,0.1,-0.085,0.034,0.049,-0.005,0.045,-0.075,0.073,0.066,-0.005,-0.001,-0.061,0.017
52,0.022,-0.051,-0.073,-0.065,-0.03,0.017,0.013,-0.077,-0.051,0.081,0.065,-0.053,-0.097,-0.06,0.018,0.029,-0.02
53,0.046,0.059,-0.088,0.017,0.002,0.105,-0.035,-0.052,0.067,0.079,-0.086,0.001,-0.094,0.065,0.102,0.013,0.013
54,0.093,-0.099,0.056,-0.057,-0.045,0.047,-0.026,-0.061,0.028,0.028,0.105,0.009,-0.088,-0.036,0.093,-0.048,0
55,0.047,0.095,-0.099,0.108,0.062,-0.043,-0.025,-0.083,-0.067,0.03,0.021,0.082,0.038,0.018,-0.05,-0.085,0.003
56,-0.024,-0.006,-0.065,-0.025,0.045,0.052,0.044,0.034,-0.018,-0.016,0.006,0.012,-0.081,-0.022,-0.098,-0.039,-0.013
57,-0.072,0.001,-0.018,-0.012,0.075,-0.089,-0.028,0.063,0.066,0.044,0.069,0.005,-0.036,0.109,-0.09,0.073,0.01
58,-0.032,-0.095,-0.069,0.038,0.032,-0.065,-0.08,0.063,0.043,0.031,-0.075,0.107,-0.086,0.068,-0.049,0.098,-0.004
59,0.091,0.086,0.105,0.084,-0.073,0.046,-0.02,-0.007,0.003,-0.075,0.095,-0.096,-0.069,0.101,0.001,-0.019,0.016
60,-0.084,0.093,0.041,-0.095,0.064,-0.076,0.045,-0.059,0.029,-0.091,0.023,-0.015,0.059,0.033,-0.032,0.069,0
61,0.107,0.051,0.024,-0.07,-0.072,0.093,-0.019,-0.043,-0.085,0.028,0.035,-0.024,-0.087,-0.098,0.047,0.035,-0.005
62,-0.021,0.045,0.088,-0.034,-0.099,0.051,-0.056,0.072,0.037,-0.023,0,-0.007,-0.08,0.056,-0.009,-0.047,-0.002
63,-0.069,0.087,-0.063,0.105,0.058,-0.015,-0.075,0.038,-0.015,0.108,0.05,-0.029,-0.066,-0.039,-0.004,0.078,0.009
64,-0.025,0.071,-0.095,-0.067,-0.027,0.003,-0.091,-0.049,-0.039,-0.099,-0.082,0.071,0.061,-0.069,0.044,-0.042,-0.027
65,0.045,-0.048,0.001,0.073,0.06,-0.096,-0.052,0.1,0.095,-0.002,-0.018,-0.009,-0.023,-0.061,-0.087,-0.093,-0.007
66,-0.03,0.005,-0.075,0.015,-0.093,-0.041,0.1,0.001,0,0.056,0.094,0.084,0.104,-0.012,0.057,0.061,0.02
67,-0.074,-0.019,-0.076,0.038,-0.071,0.063,0.064,0.008,0.002,-0.077,0.11,0.105,0.026,0.04,0.091,-0.057,0.011
68,0.084,-0.078,0.083,-0.011,0.031,-0.096,-0.071,0.03,0.09,-0.01,0.037,-0.025,0.038,0.003,0.051,-0.051,0.007
69,0.003,-0.056,-0.022,0.045,0.107,0.078,-0.034,0.018,-0.008,0.059,-0.08,-0.031,0.012,-0.079,-0.095,-0.086,-0.011
70,0.058,0.102,-0.096,0.094,0.011,-0.003,-0.096,-0.078,0.082,0.066,-0.045,0.05,0.019,-0.014,-0.018,-0.089,0.003
71,0.032,-0.003,-0.022,0.082,0.06,0.036,-0.076,-0.041,-0.073,0,-0.003,0.035,0.089,0.046,0.095,0.038,0.018
72,0.048,0.015,-0.017,-0.05,0.043,0.006,0.105,0.039,0.092,0.042,0.076,0.043,-0.077,0.059,-0.08,-0.028,0.02
73,-0.05,-0.02,-0.059,0.033,-0.071,0.069,0.109,-0.063,0.033,-0.067,0.059,0.06,0.028,0.101,0.014,0.056,0.015
74,-0.039,-0.028,-0.027,0.034,-0.064,0.008,0.008,-0.091,0.072,0.072,0.092,0.006,-0.073,-0.085,-0.087,-0.068,-0.017
75,-0.065,0.086,-0.026,0.067,0.003,-0.053,-0.023,0.007,0.043,0.106,-0.075,-0.065,-0.041,0.035,-0.013,0.108,0.006
76,0,-0.018,-0.031,0.01,-0.036,-0.072,0.072,-0.07,0.085,-0.083,-0.058,0.035,0.068,0.01,0.076,0.044,0.002
77,0.11,0.095,-0.016,-0.017,0.059,-0.007,0.093,0.008,-0.037,0.003,0.022,-0.039,0.072,-0.016,-0.096,0.108,0.021
78,0.093,0.011,0.104,0.002,0.036,0.053,-0.089,0.107,-0.023,0.044,0.025,-0.097,-0.098,0.071,-0.047,0.046,0.015
79,-0.009,-0.058,-0.051,-0.026,0.104,-0.091,-0.067,-0.082,-0.071,-0.007,0.093,0.007,0.002,-0.073,0.035,-0.045,-0.021
80,-0.001,0.094,0.064,-0.051,-0.052,0.077,-0.038,0.061,-0.046,0.084,-0.001,0.065,0.004,-0.066,-0.047,-0.064,0.005
81,0.003,0.063,0.054,0.139,0.083,0.006,-0.068,0.093,-0.054,-0.001,-0.007,-0.043,0.131,-0.073,0.11,0.015,0.028
82,0.056,-0.058,-0.059,0.138,0.024,0.075,-0.018,0.012,0.065,0.036,0.119,-0.03,0.131,-0.048,-0.084,-0.027,0.021
83,-0.076,0.128,0.051,-0.105,0.104,-0.117,-0.089,-0.014,0.114,-0.085,0.101,0.031,-0.105,-0.086,-0.103,0.101,-0.009
84,0.039,0.134,-0.026,0.046,0.048,0.068,-0.01,0.103,0.14,-0.051,-0.074,-0.092,0.139,0.088,-0.021,-0.037,0.031
85,0.073,0.015,0.126,0.136,-0.058,-0.015,0.132,0.077,-0.114,0.096,0.089,0.099,-0.109,-0.031,0.14,0.104,0.048
86,0.117,-0.126,-0.129,-0.04,0.061,-0.08,-0.012,0.004,-0.042,-0.056,0.014,0.12,-0.035,0,0.02,-0.015,-0.012
87,0.011,0.075,-0.049,0.068,-0.039,0.076,-0.109,0.067,0.08,-0.054,-0.115,0.036,-0.005,-0.106,0.003,-0.071,-0.008
88,-0.115,0.001,0.039,-0.018,0.086,0.098,0.138,0.035,-0.077,-0.007,-0.104,0.064,-0.108,-0.011,0.011,-0.116,-0.005
89,-0.047,-0.022,0.045,-0.09,0.063,0.108,-0.098,-0.104,-0.015,-0.064,0.062,0.003,0.107,0.077,0.059,0.022,0.007
90,-0.102,-0.059,-0.119,-0.075,-0.117,-0.08,-0.096,0.019,-0.02,0.125,-0.069,-0.045,0.11,-0.12,0.111,0.009,-0.033
91,0.128,0.016,0.001,-0.104,0.048,0.074,0.059,-0.11,0.139,-0.003,-0.117,-0.114,0.037,-0.073,0.063,-0.064,-0.001
92,0.12,-0.007,0.093,0.045,0.002,0.047,0.073,0.016,0.109,0.019,0.111,-0.103,0.043,-0.127,-0.041,-0.038,0.023
