Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.026,-0.066,-0.019,-0.093,0.077,-0.06,-0.025,-0.029,-0.056,-0.023,-0.094,0,0.077,-0.084,-0.083,-0.051,-0.035
2,-0.031,0.069,0.057,-0.038,0.07,0.081,0.076,0.046,0.084,0.088,-0.075,0.015,0.041,-0.09,0.084,0.025,0.031
3,0.077,0.041,0.033,-0.011,-0.02,0.058,0.005,0.072,-0.062,0.024,0.035,-0.078,0.033,0.013,-0.001,-0.083,0.009
4,0.044,0.091,-0.016,-0.007,0.022,-0.002,0.096,-0.026,-0.061,-0.074,-0.01,0.046,-0.09,0.098,-0.084,-0.084,-0.004
5,0.014,-0.02,0.017,-0.017,0.069,0.074,-0.045,-0.061,0.034,-0.004,-0.029,-0.005,-0.085,0.015,0.034,-0.04,-0.003
6,0.019,-0.079,-0.023,-0.075,-0.05,-0.025,-0.089,0.088,0.085,0.002,-0.029,-0.086,-0.055,0.032,0.069,0.002,-0.013
7,0.052,-0.03,0.056,0.024,0.051,-0.061,-0.095,0.003,-0.012,-0.019,-0.033,-0.086,0.027,-0.075,0.074,0.081,-0.003
8,-0.085,0.019,0.063,-0.015,0.003,0.037,-0.054,-0.025,-0.096,0.062,0.01,-0.05,0.073,0.085,-0.042,-0.093,-0.007
9,0.049,0.063,0.061,-0.03,-0.052,-0.07,-0.003,0.06,-0.02,0.028,-0.077,0.017,-0.021,0.081,-0.016,0.073,0.009
10,-0.004,-0.076,0.053,-0.002,-0.032,-0.048,0.059,-0.007,-0.041,-0.046,-0.011,-0.082,0.035,-0.019,-0.066,-0.004,-0.018
11,0.085,-0.049,-0.035,0.059,0.095,-0.086,-0.062,-0.061,-0.004,0.063,-0.04,0.006,-0.018,-0.023,0.054,0.08,0.004
12,-0.095,-0.049,0.094,0.091,0.059,-0.043,-0.047,-0.024,0.099,0.042,-0.052,-0.006,-0.051,-0.061,-0.051,0.007,-0.005
13,0.031,-0.095,0.055,0.064,-0.07,0.071,-0.062,-0.058,-0.009,0.072,0.005,-0.077,0.013,0.049,0.089,-0.049,0.002
14,0.038,0.014,0.022,-0.018,-0.005,0.019,0.064,-0.011,-0.089,0.05,0.009,0.047,0.025,-0.076,-0.096,-0.052,-0.004
15,0.047,0.093,0.024,-0.08,0.019,0.014,0.017,-0.012,0.016,0.061,0.058,0.049,0.066,0.029,-0.086,0.069,0.024
