Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.056,0.018,-0.05,-0.039,0.019,0.087,0.057,-0.089,0.039,-0.04,0.073,0.075,0.068,0.079,0.094,0.018,0.022
2,0.084,-0.098,-0.058,-0.018,0.093,-0.02,0.077,-0.02,-0.004,0.056,0.035,0.007,0.099,0.088,0.065,0.097,0.03
3,-0.076,-0.044,0.093,0.085,0.068,0.06,-0.052,-0.026,0.052,0.048,-0.035,0.095,0.013,-0.095,0.1,0.007,0.018
4,0.093,-0.067,-0.072,0.098,-0.069,0.097,-0.042,-0.071,-0.097,0.089,-0.045,-0.023,-0.067,0.096,-0.061,-0.079,-0.014
5,-0.043,-0.082,-0.02,0.094,0.021,-0.035,0.093,0.036,0.078,-0.004,0.082,0.092,-0.032,0.025,-0.08,0.023,0.016
6,0.073,0.033,-0.052,0.011,0.055,0.083,-0.074,0.075,-0.018,0.055,-0.037,0.06,-0.094,0.078,0.021,0.033,0.019
7,-0.084,-0.047,0.088,-0.038,-0.088,0.064,-0.017,0.042,0.1,-0.054,0.097,-0.089,0.016,-0.07,0.008,0.024,-0.003
8,-0.068,0.048,0.097,0.061,-0.067,0.072,0.055,-0.043,-0.089,0.083,-0.084,0.006,-0.041,0.046,0.031,-0.044,0.004
9,-0.043,-0.047,-0.092,0.098,-0.098,-0.052,-0.093,-0.02,-0.011,-0.091,0.083,0.093,-0.051,-0.062,0.082,-0.058,-0.023
10,-0.077,0.025,0.025,-0.099,0.03,0.07,-0.017,0.083,-0.05,0.024,0.008,0.024,0.032,0.04,-0.012,-0.072,0.002
11,-0.04,-0.078,0.06,0.019,-0.009,0.017,-0.009,-0.024,-0.098,-0.086,0.015,-0.078,-0.048,-0.033,-0.083,0.033,-0.028
12,-0.01,0.068,-0.091,0.008,-0.044,-0.027,0.096,-0.081,-0.028,0.029,0.085,-0.086,-0.077,-0.068,0.062,0.054,-0.007
13,-0.074,-0.014,-0.016,-0.096,0.024,0.08,-0.087,-0.071,0.071,0.097,0.026,0.001,-0.01,0.014,-0.022,0.077,0
14,-0.034,0.041,0.023,0.037,0.033,-0.054,0.09,0.054,-0.028,-0.082,0.032,0.08,0.074,0.074,-0.021,0.062,0.024
15,0.05,0.083,0.085,0.037,0.1,-0.073,0.052,-0.098,0.07,0.014,0.092,-0.016,0.051,0.051,0.069,-0.078,0.031
16,-0.07,0.021,0.064,-0.044,0.048,-0.003,-0.098,-0.056,-0.1,-0.047,-0.061,0.062,-0.088,0.027,0.093,-0.005,-0.016
17,-0.015,0.051,0.025,-0.092,-0.083,0.012,0.027,-0.078,0.08,0.009,0.01,-0.031,0.067,0.05,0.03,0.094,0.01
18,0.012,0.076,-0.015,0.002,0.089,0.014,-0.071,0.095,0.096,0.047,-0.097,-0.028,0.089,-0.031,0.089,-0.068,0.019
19,0.097,-0.063,-0.078,0.009,0.045,-0.055,0.085,0.013,0.061,-0.095,-0.085,0.015,-0.09,-0.093,-0.022,0.07,-0.012
20,0.057,-0.03,0.057,0.063,0.015,-0.096,-0.033,-0.048,-0.054,0.021,-0.025,-0.025,0.057,-0.08,0.076,0.07,0.002
21,0.031,-0.051,-0.035,-0.057,0.07,-0.043,0.051,-0.035,0.095,-0.033,0.1,0.022,0.079,-0.044,0.063,0.046,0.016
22,-0.037,-0.072,-0.068,0.026,-0.024,-0.06,-0.042,-0.054,0.027,-0.078,-0.028,-0.005,0.009,0.032,-0.099,-0.075,-0.034
23,0.087,-0.021,0.05,0.041,0.041,0.048,-0.018,-0.02,0.085,-0.001,0.079,0.006,0.046,-0.02,0.017,-0.037,0.024
24,0.02,0.054,0.064,-0.002,-0.048,0.093,0.091,-0.072,-0.073,-0.069,0.064,0.077,-0.071,-0.047,-0.017,0.002,0.004
25,0.053,-0.006,0.059,0.044,0.036,0.012,0.064,-0.029,-0.014,0.051,-0.003,-0.077,0.035,0.068,-0.05,0.017,0.016
26,0.048,0.047,0.096,-0.04,0.001,0.037,0.099,0.033,0.016,-0.011,0.017,0.071,-0.047,-0.077,-0.013,0.062,0.021
27,-0.014,0.037,0.095,0.035,0.014,-0.094,-0.069,-0.08,0.041,-0.075,0.088,-0.072,0.077,-0.099,0.05,0.033,-0.002
28,0.084,-0.069,-0.041,-0.052,-0.084,0.082,-0.027,-0.039,0.035,-0.003,-0.003,0.025,-0.075,-0.06,0.061,0.073,-0.006
29,0.072,-0.004,-0.043,0.044,0.074,0.001,-0.022,-0.03,-0.029,-0.048,0.09,0.055,-0.042,0.003,0.061,-0.022,0.01
30,0.094,-0.036,0.081,-0.052,-0.087,-0.097,-0.073,-0.046,-0.01,0.043,-0.021,-0.08,-0.049,-0.062,-0.006,-0.059,-0.029
31,0.064,-0.054,-0.019,0.02,-0.024,-0.055,-0.028,0.093,-0.053,-0.031,-0.094,-0.09,-0.077,0.075,0.019,-0.028,-0.018
32,0.1,-0.099,-0.058,0.066,-0.028,-0.029,0.003,-0.047,0.015,0.044,-0.044,0.013,0.072,-0.085,0.042,-0.079,-0.007
33,-0.06,0.067,-0.088,-0.08,-0.093,0.026,0.013,-0.011,-0.042,0.014,0.025,0.007,0.003,-0.06,0.029,0.008,-0.015
34,-0.034,0.087,0.036,0.077,0.089,-0.08,0.042,0.099,-0.052,0.095,-0.049,0.006,-0.082,0.069,-0.054,-0.091,0.01
35,0,0.091,0.074,0.069,-0.081,0.084,-0.05,-0.028,0.088,0.064,-0.047,-0.014,0.095,0.087,0.013,-0.051,0.025
36,-0.031,-0.056,-0.024,0.09,-0.052,-0.024,0.092,0.011,-0.072,0.004,0.051,-0.072,0.086,0.031,-0.016,0.03,0.003
37,-0.01,-0.022,0.031,0.056,-0.069,-0.026,0.021,0.028,0.096,0.063,-0.012,0.043,0.009,-0.021,-0.046,-0.094,0.003
38,0.007,0.063,-0.055,-0.09,-0.011,0.07,-0.075,-0.025,0.041,0.059,0.083,0.034,-0.009,-0.084,-0.098,-0.036,-0.008
39,0.071,0.031,-0.082,0.072,0.099,0.071,-0.064,-0.023,0.03,-0.072,0.064,0.066,-0.043,-0.059,-0.097,-0.058,0
