Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.007,-0.002,0.01,0.013,-0.001,0.006,0.006,0,0.001,0.004,-0.007,0,0.012,0,-0.001,0.004,0.003
2,0.002,-0.009,0.016,-0.001,0,0.001,0.008,0.005,0.004,0.007,-0.005,0.002,0.006,-0.001,-0.005,0.019,0.003
3,-0.005,0.004,-0.001,-0.008,0,-0.004,0.009,0.013,0,-0.005,0.002,0.016,0.001,0.002,0.003,0.023,0.003
4,0.004,0.01,-0.01,0.007,0.004,0.001,-0.014,-0.004,-0.007,0.01,-0.003,0.003,0.004,0.002,0.013,-0.005,0.001
5,-0.004,-0.013,-0.003,0.043,0.021,0.001,0.004,-0.012,-0.005,-0.002,-0.005,0.004,-0.001,0.002,-0.001,0.008,0.002
6,-0.002,-0.005,-0.02,0.015,0.003,0.013,0.011,-0.011,0.016,0.016,0.008,0.017,-0.009,-0.002,-0.002,0.001,0.003
7,0,0.003,-0.003,0.012,0.001,0.034,0.026,-0.004,0.001,0.011,-0.022,-0.019,-0.005,-0.002,0.007,0.01,0.003
8,0.001,-0.008,0.037,0.009,0.003,0.023,-0.022,-0.02,-0.012,0.029,-0.012,-0.016,-0.003,0.013,0.01,0.05,0.005
9,-0.004,-0.007,-0.024,0.018,0.006,0.01,0.013,-0.02,-0.01,-0.016,-0.009,-0.014,0.003,0.017,-0.014,-0.004,-0.003
10,-0.017,0.035,0.012,-0.017,0.008,0.027,0.005,0.005,0.013,0.016,-0.022,0.008,0,-0.009,0.018,0.01,0.006
11,-0.004,0.011,-0.025,0.025,0.009,-0.007,0.004,-0.009,0.012,0.011,-0.022,-0.023,-0.01,-0.004,0.044,-0.02,-0.001
12,-0.011,0.026,-0.014,0.022,-0.027,-0.003,-0.005,-0.008,-0.009,-0.021,0.024,0.02,0.015,0.023,-0.026,-0.001,0
13,-0.028,-0.009,-0.021,-0.042,0.009,0.003,-0.007,-0.027,0.008,-0.012,-0.007,-0.012,-0.001,0.032,-0.022,0.017,-0.008
14,0.015,0.003,-0.004,0.005,0,0.002,-0.039,-0.005,-0.009,0.032,0.028,-0.004,0.008,0.036,0.039,-0.006,0.006
15,0.012,0.02,0,-0.022,-0.011,0.04,-0.038,-0.022,-0.009,0.008,-0.017,-0.047,0.036,0.044,0.023,0.011,0.002
16,-0.023,-0.023,-0.004,-0.03,0.052,-0.011,0.055,0.023,0.017,0.006,0.01,-0.023,0.026,0.009,0.008,0.001,0.006
17,0.001,0.02,-0.003,0.051,-0.029,-0.001,0.025,0.057,0.015,-0.003,0.021,-0.032,0.022,0.042,-0.019,0.035,0.013
18,-0.015,0.006,-0.035,-0.012,-0.003,0.01,-0.031,0.016,0.003,-0.004,0.006,-0.009,-0.011,-0.026,0.002,0.016,-0.006
19,0.049,-0.002,-0.018,-0.015,-0.011,0.004,-0.012,-0.007,-0.012,0.018,-0.037,0.019,-0.01,0.031,-0.078,-0.022,-0.006
20,-0.005,0.018,-0.027,0.028,0.008,0.004,0.036,0.05,0,-0.01,0.011,0.004,-0.001,0.039,0.025,-0.014,0.01
21,0.015,0.002,-0.023,0.012,0.005,0.006,-0.021,0.079,-0.019,-0.011,-0.044,-0.008,-0.017,0.037,-0.01,-0.002,0
22,-0.03,-0.024,0.006,-0.018,-0.026,-0.01,-0.012,-0.044,-0.04,-0.034,-0.072,0.04,-0.025,0.016,0.008,0.052,-0.013
23,0.004,0.003,0.014,-0.032,-0.016,0.02,-0.049,0.027,0.011,0.011,-0.01,-0.027,-0.017,-0.002,0.026,0.058,0.001
24,0.007,-0.024,-0.042,-0.007,-0.03,0.02,-0.07,0.024,0.041,0.035,-0.006,-0.052,-0.054,0.042,0.016,0.043,-0.004
25,-0.058,-0.012,-0.016,0.035,-0.018,0.029,-0.038,-0.002,0.011,-0.02,-0.015,-0.009,-0.004,0.004,-0.008,-0.051,-0.011
26,-0.027,-0.025,0.009,0.036,0.045,-0.013,-0.054,0.011,-0.007,-0.014,-0.056,-0.057,0.001,0.024,-0.056,0.077,-0.007
27,-0.034,-0.019,-0.083,0.05,-0.021,-0.012,0.006,0.02,-0.003,-0.019,0.009,-0.01,-0.024,-0.012,0.038,0.088,-0.002
28,-0.029,0,0.023,0.012,0.005,0.041,-0.088,-0.006,0,0.022,-0.004,-0.014,-0.029,0.076,-0.045,0.005,-0.002
29,0.011,0.051,-0.012,0.026,0.016,0.032,0.03,-0.031,0.005,-0.02,-0.025,0,-0.017,-0.001,0.036,-0.024,0.005
30,-0.038,0.024,-0.062,0.025,0.014,0.035,0.02,0.005,-0.036,-0.043,-0.019,-0.006,-0.032,0.017,0.003,0.017,-0.005
31,0.011,0.033,-0.009,0.006,0,-0.009,-0.044,-0.048,-0.029,-0.013,-0.028,0.065,-0.014,0.037,-0.107,0.016,-0.008
32,-0.002,0.065,0.019,0.112,-0.002,-0.025,0.009,0.086,0.012,0.002,-0.006,0.049,0.043,0.068,-0.01,-0.076,0.022
33,-0.004,0.049,-0.017,0.053,0.036,0.013,0.011,-0.016,-0.034,0.055,-0.001,-0.049,0.025,0.055,-0.034,0.027,0.01
34,0.014,0.042,-0.005,-0.068,0.005,0.031,0.005,-0.048,0.001,0.065,-0.059,-0.032,0.012,0.045,-0.031,0.079,0.003
35,-0.013,-0.026,-0.017,-0.055,0.014,0.04,0.021,-0.009,-0.01,-0.023,-0.014,0.009,0.019,0,-0.06,-0.031,-0.01
36,-0.039,-0.008,-0.047,0.038,0.014,-0.003,-0.021,0.1,0.024,0.016,0.022,0.03,-0.015,0.031,-0.034,0.003,0.007
37,0.009,-0.004,-0.025,-0.045,0.021,0.004,-0.006,-0.03,-0.028,-0.046,-0.043,0.047,0.003,0.004,-0.014,-0.076,-0.014
38,-0.013,-0.012,-0.042,0,-0.065,0,-0.063,-0.004,-0.054,-0.004,-0.022,-0.007,-0.046,0.003,-0.003,0.011,-0.02
39,-0.05,-0.031,-0.05,-0.133,0.009,-0.002,-0.005,0.006,0.003,0.003,-0.065,-0.101,0.021,0.037,0.024,0.046,-0.018
40,-0.004,-0.034,-0.046,-0.045,-0.036,-0.03,-0.025,0.041,0.013,-0.016,-0.055,0.005,-0.02,0.053,-0.006,-0.009,-0.013
41,-0.012,0.005,-0.011,0.052,-0.058,0.054,-0.077,-0.021,-0.009,-0.001,-0.042,-0.032,-0.041,0.018,-0.01,-0.002,-0.012
42,0.003,-0.059,-0.024,-0.066,-0.029,0.077,0.021,-0.026,-0.042,-0.046,-0.027,0.035,-0.001,0.055,-0.056,-0.073,-0.016
43,-0.034,-0.036,-0.055,0.005,-0.058,0.053,-0.024,-0.004,0.004,-0.014,0.034,-0.07,-0.007,0.02,-0.009,0.046,-0.009
