Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.027,-0.091,-0.04,0.024,-0.094,-0.072,-0.037,-0.01,-0.065,-0.029,-0.042,-0.078,0.094,0.009,-0.016,0.022,-0.025
2,0.076,-0.067,0.015,-0.015,0.073,0.029,0.088,-0.019,-0.055,-0.083,-0.011,-0.094,0.018,0.039,0.023,-0.012,0
3,0.057,-0.072,-0.086,-0.088,0.047,-0.082,0.074,0.051,0.059,-0.027,0.01,-0.066,-0.004,-0.047,0.057,0.039,-0.005
4,0.044,-0.033,-0.037,-0.079,0.098,-0.017,-0.059,0.022,-0.062,0.087,-0.012,-0.093,-0.075,0.052,0.016,-0.078,-0.014
5,0.088,-0.008,-0.053,-0.041,-0.001,-0.01,0.09,-0.099,-0.096,-0.019,0.081,0.026,0.079,-0.089,0.04,-0.052,-0.004
6,-0.017,0.076,0.018,0.098,-0.087,0.031,-0.031,0.064,0.051,0.071,-0.046,-0.075,-0.032,-0.008,0.006,-0.057,0.004
7,0.01,0.044,-0.003,-0.081,0.07,0.053,-0.08,-0.075,0.02,-0.047,0.094,-0.052,0.039,-0.039,-0.09,-0.041,-0.011
8,-0.095,0.062,-0.087,0.05,0.087,0.021,0.009,0.099,0.036,-0.007,0.047,-0.091,0.083,0.005,-0.012,0.086,0.018
9,-0.067,-0.037,-0.042,0.018,-0.022,-0.083,0.012,0.031,-0.022,-0.08,-0.062,0.09,-0.091,-0.088,0.015,0.067,-0.023
10,0.03,0.076,0.067,0.075,0.013,0.062,-0.034,-0.081,-0.004,0.01,-0.092,-0.003,0.044,-0.022,-0.058,0.004,0.005
11,0.088,-0.029,-0.1,0.004,-0.072,0.075,0.048,-0.069,-0.092,-0.049,-0.097,-0.081,-0.026,0.073,-0.061,-0.03,-0.026
12,-0.023,0.009,0.088,0.018,-0.069,-0.031,0.035,-0.051,-0.093,-0.037,0.065,-0.019,-0.055,0.076,-0.048,0.015,-0.008
13,-0.066,-0.031,0.026,0.079,0.052,-0.07,0.069,0.035,-0.066,-0.073,-0.038,-0.016,0.008,-0.077,0.082,-0.02,-0.007
14,-0.028,0.035,-0.077,-0.032,0.064,-0.088,0.027,-0.078,-0.087,0.021,-0.04,0.043,-0.094,0.04,0.015,0.003,-0.017
15,-0.02,-0.055,0.053,0.079,-0.064,0.063,-0.002,-0.02,-0.083,-0.036,0.087,0.053,0.068,0.003,0.082,0.094,0.019
16,-0.094,0.025,0.07,0.048,0.099,-0.042,0.013,-0.059,0.004,0.066,0.067,-0.001,0.053,0.065,0.067,0.085,0.029
17,0.076,-0.021,0.058,0.026,0.044,-0.031,-0.016,-0.094,0.089,0.068,0.081,-0.026,-0.023,0.055,0.002,-0.063,0.014
18,-0.026,0.042,-0.047,0.042,0.094,-0.019,-0.013,-0.002,-0.096,-0.042,-0.035,-0.084,0.028,0.041,-0.074,0.055,-0.009
19,0.05,-0.043,-0.054,0.093,0.063,0.022,0.089,-0.005,0.016,0.064,0.033,0.083,0.059,0.028,0.047,-0.073,0.03
20,0.063,0.093,0.075,0.014,0.047,0.016,0.062,0.053,0.032,-0.089,-0.07,0.083,-0.08,0.043,0.066,0.037,0.028
21,-0.092,-0.079,-0.043,-0.006,-0.034,0.094,-0.08,-0.081,0.055,-0.015,0.07,-0.042,0.084,-0.016,0.042,-0.074,-0.014
22,0.095,0.088,0.027,0.09,0.053,0.046,0,0.039,0.08,-0.067,-0.001,-0.005,0.072,0.007,-0.054,0.01,0.03
23,-0.045,0.009,-0.077,-0.082,0.075,-0.096,-0.078,0.057,0.088,0.039,0.016,-0.08,-0.027,0.001,-0.021,-0.068,-0.018
24,-0.028,-0.027,0.092,-0.045,0.09,0.075,-0.05,-0.026,0.066,0.055,0.048,0.034,0.062,0.029,-0.015,-0.021,0.021
25,0.047,-0.087,-0.011,0.025,-0.076,-0.079,0.074,-0.098,-0.017,0.066,-0.072,0.043,-0.007,-0.017,-0.045,-0.088,-0.021
26,-0.018,-0.004,-0.016,-0.04,0.08,-0.075,-0.014,-0.089,0.083,0.06,-0.1,0.026,0.026,-0.011,0.033,-0.096,-0.01
27,0.05,-0.08,0.031,-0.081,-0.038,0.039,-0.018,-0.031,0.071,-0.054,-0.032,-0.001,0.018,-0.097,-0.017,-0.082,-0.02
28,0.054,0.03,0.025,-0.095,0.084,0.059,-0.026,-0.019,0.07,0.046,-0.041,0.053,0.033,-0.025,0.079,0.031,0.022
29,-0.094,-0.007,-0.079,-0.076,-0.027,-0.075,-0.01,0.046,0.005,0.077,0.092,0.054,-0.04,0.004,-0.035,0.062,-0.006
30,0.067,0.09,0.061,-0.048,-0.035,-0.056,-0.084,0.001,0.027,-0.045,0.074,-0.072,0.082,0.073,-0.1,-0.082,-0.003
31,-0.005,0.088,-0.065,0.018,-0.051,-0.031,-0.082,0.071,-0.017,-0.035,-0.05,0.01,-0.028,-0.068,0.064,0.021,-0.01
32,0.064,0.02,0.099,-0.062,0.055,-0.008,-0.053,0.012,-0.064,0.035,-0.025,-0.062,0.045,-0.042,0.031,0.012,0.004
33,0.071,0.018,-0.001,-0.045,-0.075,-0.002,-0.005,-0.069,0.04,0.057,0.008,0,0.058,-0.079,-0.057,-0.005,-0.005
34,0.086,0.013,-0.08,0.052,0.083,-0.013,0.083,-0.002,0.002,0.026,0.04,0.035,-0.067,-0.076,0.07,-0.027,0.014
35,-0.032,-0.039,0.095,-0.043,-0.067,0.095,-0.039,0.055,-0.073,-0.044,-0.094,0.059,-0.075,0.016,-0.075,-0.055,-0.02
36,-0.056,0.036,-0.083,-0.084,-0.037,-0.026,-0.005,0.002,0.092,0.092,-0.041,-0.048,0.081,0.07,-0.007,-0.07,-0.005
37,-0.053,0.089,-0.084,0.001,0.057,0.011,0.085,0.066,0.033,0.003,-0.079,0.033,0.01,-0.061,-0.083,0.029,0.004
38,-0.034,0.095,0.057,0.006,-0.007,-0.085,0.033,0.073,-0.046,-0.088,-0.049,0.087,0.047,0.073,-0.073,-0.09,0
39,-0.078,0.075,0.023,0.083,-0.049,0.004,0.043,-0.066,0.005,0.079,-0.019,-0.025,0.082,-0.081,-0.078,-0.075,-0.005
40,0.037,0.08,0.028,0.009,-0.039,0.089,-0.062,-0.088,-0.094,-0.026,0.046,0.064,0.037,-0.007,-0.091,0.09,0.005
41,-0.063,0.054,0.044,-0.052,0.034,-0.063,-0.086,-0.031,-0.052,0.058,0.109,0.041,0.028,0.035,0.077,0.077,0.013
42,-0.052,0.11,-0.076,-0.034,0.054,0.062,-0.093,0.035,0.033,-0.05,0.093,0.002,-0.012,-0.074,0.054,-0.084,-0.002
43,-0.05,0,0.006,-0.033,0.02,-0.028,0.004,0.037,0.056,0.004,-0.032,0.033,0.06,-0.018,0.082,0.036,0.011
44,-0.052,-0.043,0.029,0.015,0.029,-0.077,-0.031,0.089,0.096,-0.086,0.052,-0.092,-0.061,0.04,-0.003,-0.053,-0.009
45,0.057,0.025,-0.078,0.045,-0.066,0.039,-0.084,0.1,0.048,-0.097,0.05,-0.039,0.094,-0.009,-0.028,0.068,0.008
46,0.044,-0.014,0.046,-0.004,0.003,-0.041,0.034,0.067,0.064,-0.08,-0.088,-0.039,0.023,0.067,0.089,0.067,0.015
47,-0.069,0.066,-0.068,0.03,-0.03,-0.01,-0.031,-0.009,0.09,-0.017,-0.064,0.101,0.075,-0.081,-0.061,-0.048,-0.008
