Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
42,0.048,0.03,0.035,-0.128,0.026,0.053,0.031,0.046,0.017,0.073,0.053,-0.027,0.024,-0.047,0.016,-0.011,0.015
43,0.019,-0.011,0.038,-0.026,-0.041,0.044,0.038,0.094,0.044,0.059,0.011,0.069,0,0.096,0.031,-0.021,0.028
44,0.047,0.082,-0.051,0.101,0.026,0.074,0.027,0.115,-0.017,0.041,0.025,0.031,-0.002,0.072,-0.04,0.053,0.036
45,0.049,-0.009,-0.004,0.069,0.023,0.044,0.069,0.065,0.048,0.073,0.069,0.003,0.01,0.037,0.065,0.069,0.042
46,0.029,0.059,0.013,0.03,0.066,0.042,0.046,0.073,0.026,-0.021,0.071,0.016,0.068,0.062,0.071,0.127,0.049
47,-0.007,-0.002,0.021,-0.006,-0.008,0.029,0.04,0.005,0.031,0.042,0.036,0.007,-0.036,0.102,0.017,0.059,0.021
48,-0.01,0.032,0.002,0.097,0.002,0.114,0.021,-0.028,0.019,-0.007,0.04,0.047,-0.04,0,-0.005,-0.008,0.017
49,0.006,-0.016,0.053,0.034,-0.005,0.126,-0.019,0.022,0.018,0.001,0.091,0.047,-0.017,-0.017,-0.011,-0.016,0.019
50,-0.055,0.007,0.044,-0.035,0.054,0.058,0.051,0.102,0.054,-0.05,0.014,0.005,0.035,0.008,0.089,0.012,0.025
51,-0.002,0.028,0.048,0.067,0.063,0.097,-0.016,0.025,0.039,0.016,0.028,0.122,-0.016,-0.049,0.02,0.081,0.034
52,0.031,0.076,0.007,0.099,0.046,0.005,0.025,-0.07,-0.017,-0.01,0.04,-0.017,0.05,0.132,0.052,0.003,0.028
53,-0.03,-0.018,0.01,0.027,0.014,0.043,-0.023,-0.023,0.014,0.007,0.071,0.049,0.014,0.086,0.027,0.17,0.027
54,0.043,0.032,0.043,0.022,0.03,0.01,-0.025,0.024,0.015,0.071,0.004,0.004,0.002,0.045,0.02,-0.061,0.017
55,0.052,0.034,0.023,0.049,-0.034,-0.003,0.028,0.02,0.045,0.018,0.031,0.055,-0.06,0.029,0.07,0.072,0.027
56,-0.05,0.037,0.097,-0.088,-0.013,0.076,0.025,-0.044,-0.021,0.06,-0.001,-0.039,-0.044,0.046,0.076,-0.014,0.006
57,-0.008,0.022,0.05,0.021,-0.005,-0.012,-0.052,-0.017,0.042,-0.048,-0.018,-0.032,0.019,-0.042,-0.004,0.064,-0.001
58,0.029,0.004,0.032,0.063,-0.031,0.024,0.057,-0.072,0.069,0.104,0.073,0.093,0.015,0.051,0.072,0.102,0.043
59,-0.016,0.073,0.042,0.073,0.04,0.009,0.035,-0.037,0.034,-0.016,0.031,0.036,0.043,0.016,-0.046,0.073,0.024
60,0.071,0.09,0.002,0.083,-0.032,-0.005,0.113,-0.011,0.077,-0.042,0.072,-0.028,0.006,0.058,-0.037,0.005,0.026
61,0.049,0.052,0.053,-0.018,-0.05,0.02,0.072,0.135,0.045,0.08,0.054,0.034,-0.012,-0.003,0.094,-0.037,0.035
62,0.007,-0.003,0.03,-0.053,0.034,0.005,-0.022,0.164,-0.02,-0.052,0.101,0.051,0.02,0.024,0.056,0.143,0.03
63,0.013,-0.012,0.041,-0.058,0.001,-0.017,0.056,0.147,0.026,0.087,0.111,-0.028,0.056,0.008,0.035,0.017,0.03
64,0.051,0.028,0.043,0.018,-0.013,-0.012,0.057,-0.006,0.012,0.056,0.036,-0.053,0.039,0.041,-0.017,-0.073,0.013
65,0.025,0.036,0.014,-0.119,0.015,0.109,0.153,-0.039,0.008,0.126,-0.038,0.049,0.016,0.055,0.066,0.009,0.03
66,0.029,-0.008,0.034,0.062,-0.028,-0.004,-0.043,0.018,0.083,-0.003,0.038,0.067,0.016,0.015,0.114,0.02,0.026
67,-0.022,0.043,-0.035,-0.023,0.005,0.083,-0.063,-0.026,0.027,-0.045,0.023,-0.012,-0.024,0.037,-0.007,-0.056,-0.006
68,0.03,0.104,-0.042,0.04,0.06,0.063,0.101,0.001,0.081,0.103,0.083,0.049,-0.086,0.026,0.094,0.115,0.051
69,0.013,0.012,-0.034,0.122,0.055,0.082,0.061,-0.068,0.041,0.039,0.045,0.022,-0.029,0.042,0.096,-0.034,0.029
70,0.026,0.121,0.08,-0.027,-0.019,0.144,-0.03,0.029,0.059,-0.04,-0.08,0.001,-0.087,0.139,0.043,0.13,0.031
71,0.025,0.06,0.19,-0.048,0.004,0.032,0.062,0.044,-0.017,0.024,0.029,0.014,-0.031,0.023,0.065,0.008,0.03
72,-0.002,0.031,0.104,0.079,0.053,0.047,0.082,0.053,-0.038,0.136,-0.033,-0.037,0.03,0.094,0.075,0.067,0.046
73,0.014,0.057,0.081,0.087,0.098,0.048,0.024,0.171,0.036,0.062,0.095,-0.012,0.012,0.224,0.059,0.028,0.068
74,0.039,-0.038,0.104,0.044,0.012,-0.003,0.049,-0.067,0.054,0.07,0.104,0.047,-0.033,0.021,-0.038,-0.071,0.018
75,0.047,0.073,0.056,0.051,-0.03,0.054,0.094,0.092,-0.022,0.044,0.036,0.023,0.043,0.065,0.095,-0.043,0.042
76,0.034,-0.023,0.064,-0.045,0.04,0.021,0.038,0.048,0.043,0.083,0.092,0.186,-0.017,-0.028,0.072,0.01,0.039
77,-0.038,0.043,-0.06,0.08,0.082,0.025,0.057,-0.085,0.021,-0.002,0.03,0.051,-0.022,0.14,0.051,0.023,0.025
78,-0.028,-0.014,0.113,0.081,0.07,0.093,-0.005,0.158,0.032,-0.092,0.04,0.069,0.053,0.013,0.09,0.015,0.043
79,0.067,-0.012,0.029,-0.004,0.024,0.119,0.017,0.073,-0.014,0.043,0.028,0.094,-0.026,0.058,0.084,-0.118,0.029
80,0.057,-0.007,0.009,0.125,0.019,-0.03,0.014,0.093,0.042,0.068,0.09,-0.057,0.105,0.114,-0.017,0.023,0.041
81,0.052,0.106,0.112,0.036,0.035,0.093,0.075,-0.062,0.05,0.085,0.109,0.152,0.057,0.054,0.042,0.019,0.063
82,0.045,0.066,-0.04,-0.078,0.069,0.026,0.062,-0.106,0.039,0.028,0,0.061,-0.011,0.005,-0.022,-0.089,0.004
83,0.074,0.081,-0.028,0.188,-0.093,-0.009,0.158,0.084,0.051,0.001,0.13,0.148,0.101,0.015,-0.027,-0.102,0.048
84,-0.025,0.036,0.105,0.042,0.044,-0.024,-0.013,0.104,0.009,0.052,0.022,0.144,-0.007,0.126,0.055,0.214,0.055
85,0.015,0.089,0.087,0.043,0.094,0.138,-0.004,-0.132,0.031,0.075,0.021,0.24,0.029,0.16,0.109,-0.044,0.059
86,0.028,0.082,0.056,0.162,-0.047,0.035,0.212,0.033,0.049,0.035,0.03,0.071,0.018,0.051,0.016,-0.092,0.046
87,0.075,-0.019,0.129,0.121,0.081,-0.041,0.114,0.185,-0.002,0.043,0.003,0.021,0.019,0.048,-0.021,-0.12,0.04
88,0.018,0.035,0.19,0.106,0.124,0.008,0.071,-0.019,0.045,0.093,0.047,0.018,0.112,0.002,0.05,0.112,0.063
89,0.038,0.049,-0.008,0.124,0.08,0.048,0.143,0.197,0.094,-0.028,0.093,0.071,0.036,0.109,0.053,-0.075,0.064
90,0.027,0.012,0.06,0.167,0.137,0.052,0.024,-0.044,0.087,0.025,0.079,-0.08,0.109,-0.052,0.017,0.008,0.039
91,0.01,-0.01,0.022,0.103,0.074,0.043,0.055,-0.085,0.067,0.079,0.091,0.071,0.086,0.008,0.093,0.152,0.054
92,0.024,-0.055,0.018,0.228,0.022,-0.043,0.068,0.053,0.058,-0.021,0.065,0.088,-0.019,-0.01,0.143,-0.11,0.032
93,-0.025,-0.02,0.15,0.044,-0.007,0.126,0.087,0.117,0.019,0.001,0.068,-0.086,-0.005,-0.04,0.057,-0.012,0.03
94,0.037,-0.051,0.081,0.134,0.053,0.074,0.088,0.084,0.055,0.032,0.06,-0.096,0.1,0.001,0.06,-0.058,0.041
95,-0.017,-0.08,0.17,0.048,-0.026,0.03,0.012,0.172,-0.005,0.056,0.118,0.032,0.002,0.114,-0.023,0.015,0.039
96,0.015,0.01,0.077,0.066,0.09,-0.006,0.044,0.195,0.005,0.078,0.09,0.033,0.051,0.023,0.081,-0.099,0.047
97,-0.058,0.123,0.013,0.071,0.129,0.004,0.1,0.037,-0.038,0.042,0.114,0.009,0.044,0.115,0.056,-0.079,0.043
98,0.078,0.076,0.178,0.094,0.101,-0.048,0.025,0.192,0.019,0.121,0.064,0.058,-0.059,0.052,0.103,0.134,0.074
99,0.023,-0.04,0.115,0.102,-0.007,-0.043,-0.057,0.001,-0.025,-0.062,0.127,-0.042,0.125,0.023,0.129,0.16,0.033
100,0.049,-0.063,0.042,-0.026,-0.026,0.103,0.001,-0.008,0.071,0.052,-0.023,0.139,0.08,-0.003,0.055,-0.018,0.027
101,-0.019,0.042,0.133,-0.055,-0.01,-0.053,0.087,0.037,0.046,-0.058,0.056,-0.102,0.098,0.064,0.108,-0.189,0.012
102,0.02,0.081,-0.02,-0.026,0.009,-0.083,0.119,0.055,0.125,-0.027,0.082,0.038,0.079,0.086,0.052,0.042,0.039
103,0.056,0.083,0.054,-0.084,-0.044,0.12,0.135,-0.044,0.098,0.102,0.177,-0.016,0.076,0.113,0.14,0.009,0.061
104,0.021,0.054,0.074,0.109,0.056,0.037,0.039,0.011,0.092,-0.043,0.115,0.224,0.063,0.2,0.16,0.008,0.076
105,0.05,0.008,0.026,0.041,0.006,0.091,0.146,0.126,-0.002,0.083,0.024,0.116,0.035,-0.013,0.056,0.214,0.063
106,0.056,-0.044,0.03,0.074,-0.032,0.122,0.096,0.05,-0.017,-0.017,0.084,0.054,0.063,0.094,0.125,-0.093,0.04
107,-0.037,0.001,0.082,-0.048,0.026,0.119,0.063,-0.053,0.098,0.038,0.07,0.32,0.129,0.155,0.158,0.207,0.083
108,-0.016,0.064,0.054,0.034,0.043,0.198,0.047,0.038,0.076,0.147,0.047,0.01,0.055,0.136,0.188,-0.072,0.065
109,0.037,-0.044,0.055,-0.035,0.038,0.123,0.023,0.083,-0.035,0.142,0.156,-0.095,0.088,0.06,0.09,-0.066,0.039
110,0.032,-0.051,0.124,0.211,0.082,0.033,0.123,0.204,-0.079,0.02,0.147,-0.086,-0.086,0.011,0.028,0.192,0.057
111,-0.04,-0.041,0.04,0.036,-0.012,0.083,-0.05,0.097,0.046,0.001,0.034,0.031,0.134,0.166,-0.041,-0.007,0.03
112,0.085,0.018,0.136,0.108,0.066,0.102,0.113,0.212,0.06,0.104,0.175,0.181,0.076,-0.064,0.187,0.147,0.107
113,0.071,0.008,-0.022,0.046,-0.019,0.045,0.117,0.02,0.043,0.025,0.132,-0.037,0.022,0.075,0.15,-0.074,0.038
114,0.02,0.015,0.024,0.05,-0.073,-0.044,-0.095,0.113,0.021,-0.014,-0.117,0.143,-0.001,-0.116,-0.002,0.03,-0.003
115,0.023,0.074,0.09,0.273,0.018,0.141,0.015,0.163,0.011,0.073,0.073,0.157,0.009,0.032,0.119,0.137,0.088
116,0.087,-0.055,0.08,0.229,-0.009,-0.033,0.112,0.126,0.086,0.106,0.119,0.046,0.085,-0.016,0.112,0.319,0.087
117,0.12,-0.018,0.054,0.094,0.106,0.051,0.04,0.117,0.001,0.017,0.185,0.04,0.045,0.007,0.013,0.358,0.077
118,0.007,0.217,0.082,-0.035,0.067,0.034,0.075,0.101,0.082,0.122,-0.016,0.049,-0.047,0.179,0.057,0.055,0.064
119,-0.051,-0.07,0.039,0.208,-0.013,-0.058,0.176,-0.087,0.012,0.077,0.009,0.095,0.092,0.058,0.125,0.094,0.044
120,0.03,0.012,0.041,-0.032,0.073,0.09,0.103,0.051,0.009,0.013,0.072,0.092,0.109,0.101,0.138,-0.126,0.048
121,0.014,-0.066,0.097,0.07,0.057,-0.096,0.134,0.074,0.005,0.006,0.045,0.054,0.127,-0.005,0.054,-0.122,0.028
122,0.052,0.084,0.088,-0.088,0.087,0.068,0.042,0.049,0.058,0.07,0.184,0.098,0.029,-0.018,0,0.247,0.065
123,0.136,0.078,-0.006,-0.011,0.019,0.075,0.211,-0.139,0.073,-0.106,0.074,0.147,0.01,0.063,0.032,-0.028,0.039
124,0.027,0.005,0.023,0.015,0.098,0.045,0.183,-0.005,0.054,0.022,0.118,-0.051,0.082,0.313,0.021,0.104,0.066
125,0.003,0.034,0.126,-0.025,0.173,-0.067,0.106,0.164,0.031,-0.038,0.079,0.013,0.159,0.016,0.142,0.163,0.067
126,0.051,0.012,0.119,0.015,0.05,0.22,0.086,0.201,-0.049,0.02,0.096,-0.021,0.112,0.029,0,0.233,0.073
127,-0.081,0.121,0.178,0.07,0.06,0.112,-0.027,0.083,0.007,-0.025,0.075,0.142,0.036,-0.059,0.107,0.12,0.057
128,0.036,0.044,0.043,0.096,0.13,0.12,0.039,-0.016,0.108,-0.013,0.118,0.058,0.062,0.021,0.144,0.09,0.067
129,0.004,0.05,0.124,0.147,-0.008,-0.01,0.033,0.164,-0.001,-0.121,0.063,0.189,-0.018,0.001,0.138,0.24,0.062
130,0.047,0.058,0.154,0.177,0.021,0.104,-0.021,0.242,0.067,0.094,0.037,0.122,0.089,0.01,-0.104,0.14,0.077
131,-0.003,0.014,0.123,0.105,0.031,-0.046,-0.032,0.133,0.069,0.045,0.074,0.162,0.083,0.132,-0.019,0.123,0.062
132,0.009,-0.032,0.151,0.105,-0.074,0.142,0.15,0.148,0.04,0.038,-0.008,0.23,0.034,-0.055,0.058,0.111,0.066
133,0.005,0.089,0.186,-0.06,0.049,0.075,0.152,0.288,0.049,0.017,0.142,0.164,0.054,0.089,0.078,0.115,0.093
134,0.117,0.052,0.113,-0.18,-0.059,0.062,-0.089,0.215,0.002,-0.069,0.092,0.068,0.068,0.191,0.168,-0.092,0.041
135,0.082,0.073,0.068,0.032,0.035,-0.064,0.06,0.018,0.093,0.073,0.139,0.205,0.057,0.093,0.111,-0.126,0.059
136,0.212,-0.006,0.108,0.115,0.16,0,-0.039,-0.174,0.022,0.092,0.043,0.092,-0.11,0.188,0.092,-0.1,0.043
137,0.1,0.055,-0.007,0.059,0.043,-0.027,0.012,-0.013,0.012,0.039,0.062,0.192,0.133,-0.024,0.039,0.093,0.048
138,0.112,0.112,0.102,-0.017,0.028,0.025,0.011,0.175,0.056,-0.056,0.155,0.012,0.004,0.157,0.01,0.186,0.067
139,0.036,0.109,0.099,0.046,0.042,0.121,-0.016,-0.003,0.017,-0.022,0.128,0.098,0.021,0.13,0.078,0.263,0.072
140,0.089,0.115,0.071,0.076,0.139,0.025,0.236,-0.009,-0.018,-0.054,0.087,-0.013,-0.056,0.014,0.142,0.201,0.065
141,0.091,0.034,0.053,0.009,0.066,0.196,0.173,0.046,0.063,-0.193,0.166,0.073,0.136,0.048,-0.062,0.114,0.063
142,0.114,-0.101,0.226,0.142,-0.022,0.014,0.189,0.064,-0.005,-0.016,0.051,0.244,0.024,0.059,0.083,0.079,0.072
143,0.13,-0.147,0.236,0.06,0.17,0.151,0.123,0.086,0.041,0.111,0.167,0.239,0.057,-0.018,0.073,0.016,0.093
144,0.089,0.075,0.235,0.014,0.004,0.027,-0.017,0.28,0.003,0.006,-0.022,0.174,0.079,0.122,0.032,0.276,0.086
145,0.103,0.147,0.021,0.078,0.127,-0.064,0.198,0.082,0.108,0.082,0.112,0.14,0.15,0.019,0.073,-0.017,0.085
146,0.148,0.106,-0.007,-0.065,0.029,0.199,0.081,0.05,-0.004,0.039,0.023,0.067,0.111,0.06,0.005,0.156,0.062
147,0.011,-0.13,0.22,-0.11,-0.01,0.092,0.123,0.09,0.046,0.159,0.123,0.136,0.105,0.083,0.129,-0.045,0.064
148,0.038,0.08,0.07,0.265,0.04,0.01,0.117,0,0.086,0.032,0.171,0.045,-0.034,0.179,0.046,0.172,0.082
149,0.013,0.028,0.106,0.117,0.061,0.137,0.133,0.21,0.091,0.068,0.158,0.037,0.001,0.092,0.148,0.124,0.095
150,0.063,0.078,0.025,0.012,0.125,-0.087,0.071,0.136,0.056,0.064,0.056,0.164,0.022,0.028,0.031,0.114,0.06
151,-0.072,0.071,0.03,0.116,-0.03,0.047,0.166,0.16,0.057,0.046,-0.012,-0.128,0.001,0.056,-0.084,-0.021,0.025
152,0.008,-0.024,0.138,0.084,-0.016,0.138,0.07,0.102,0.154,0.083,0.19,-0.03,0.089,-0.024,0.088,-0.027,0.064
153,0.033,-0.032,0.067,0.204,0.079,0.023,0.004,0.075,0.017,0.17,0.076,0.059,0.046,0.279,0.067,0.078,0.078
154,0.055,0.036,0.092,0.151,0.087,0.015,0.147,-0.097,0.039,0.115,0.112,-0.156,-0.04,0.187,0.191,0.054,0.062
155,0.078,0.041,0.063,0.032,0.08,-0.075,0.07,-0.123,0.04,0.203,0.143,0.18,0.093,0.105,0.106,0.01,0.065
156,0.049,0.068,0.08,-0.024,0.052,0.165,0.248,0.003,0.003,0.032,0.04,-0.021,0.004,0.009,0.062,0.007,0.049
157,0.085,0.25,0.078,0.063,-0.047,0.187,0.149,0.076,0.136,0.138,-0.003,0.004,0.111,0.257,0.066,0.085,0.102
158,0.093,0.094,0.175,0.106,0.115,0.168,0.198,0.007,0.184,-0.011,0.103,0.179,0.008,0.011,0.179,0.01,0.101
159,0.084,-0.029,0.115,0.128,-0.021,0.059,0.133,0.066,0.124,0.053,0.119,0.071,0.112,0.092,0.056,-0.042,0.07
160,0.075,0.203,0.098,0.124,0.055,-0.021,0.158,-0.114,-0.013,0.047,0.139,-0.047,0.04,-0.087,0.076,0.265,0.062
161,0.099,-0.007,0.268,-0.018,0.077,0.282,0.132,-0.039,0.066,0.024,0.087,-0.025,0.143,0.055,0.01,0.165,0.082
162,0.069,-0.068,0.076,-0.088,0.068,0.086,0.13,0.091,-0.098,0.068,0.101,0.128,-0.008,0.215,0.208,0.394,0.086
163,0.119,0.055,0.122,0.065,-0.004,-0.03,0.087,0.042,0.169,-0.128,0.105,-0.036,0.129,-0.034,0.085,-0.161,0.037
164,-0.047,-0.02,0.122,0.115,-0.033,-0.066,0.181,0.143,0.106,0.036,0.166,0.087,0.027,0.066,0.24,0.059,0.074
165,0.093,0.123,0.143,0.039,0.038,0.191,0.114,0.034,-0.001,0.018,0.038,0.256,-0.093,-0.022,0.08,0.14,0.074
166,0.217,0.082,-0.034,0.156,-0.039,0.103,-0.012,-0.085,0.03,0.045,0.207,0.086,-0.028,0.054,0.114,0.041,0.059
167,0.04,0.039,0.217,0.143,0.09,0.183,0.119,0.1,-0.022,0.001,0.216,0.19,0.077,0.097,0.048,0.153,0.106
168,0.025,0.039,0.125,0.249,0.071,0.133,0.147,0.237,0.042,-0.024,0.126,0.071,0.12,0.028,0.121,-0.078,0.09
169,0.054,-0.119,0.125,0.203,0.145,0.249,0.117,-0.301,0.095,0.003,0.091,-0.085,0.131,0.081,0.101,0.013,0.056
170,0.039,0.147,0.089,0.226,-0.029,0.188,0.173,0.123,0.109,0.007,0.017,0.161,0.016,0.037,0.147,0.195,0.103
171,-0.034,0.201,0.222,0.081,0.173,-0.035,-0.038,0.208,-0.062,-0.015,0.137,0.118,0.066,0.065,0.131,-0.128,0.068
172,0.079,0.098,0.137,-0.02,0.089,0.02,0.283,0.269,0.02,0.064,0.08,0.168,0.192,-0.06,0.051,0.108,0.099
173,0.191,-0.02,0.058,0.225,-0.096,0.156,0.081,0.344,0.076,-0.014,0.021,0.106,0.048,0.152,0.051,0.291,0.104
174,0.023,-0.066,0.064,0.083,-0.002,0.043,0.247,0.214,0.078,0.153,0.103,0.071,-0.007,0.07,0.221,-0.065,0.077
175,0.072,0.12,0.15,-0.049,0.032,0.04,0.07,0.23,0.061,-0.077,0.019,-0.104,0.013,-0.008,0.168,0.017,0.047
176,0.011,0.019,0.206,-0.022,0.202,0.047,-0.022,0.071,0.122,0.2,-0.015,0.328,0.093,0.184,0.142,0.093,0.104
177,0.009,0.276,0.042,0.099,0.018,0.185,0.264,0.127,0.118,0.246,0.152,0.161,0.098,0.1,0.059,-0.081,0.117
178,0.028,-0.032,0.141,0.091,0.082,-0.017,0.041,0.088,-0.016,0.061,0.233,-0.045,0.15,0.164,0.156,0.034,0.072
179,0.095,0.088,0.153,0.186,0.019,0.146,0.14,0.243,0.03,-0.066,0.146,-0.074,0.063,0.218,0.071,-0.098,0.085
180,0.111,0.059,0.037,0.245,0.079,0.386,0.067,0.081,0.134,-0.075,0.115,-0.09,0.122,-0.048,0.02,-0.032,0.076
181,0.102,-0.052,0.12,0.221,-0.032,-0.036,0.01,0.147,0.124,-0.111,0.239,-0.046,0.045,-0.067,0.06,0.148,0.054
182,0.149,-0.072,0.122,0.116,0.123,0.034,0.146,0.111,0.135,0.104,0.082,0.176,0.059,0.022,0.066,-0.089,0.08
183,0.136,-0.035,0.035,0.208,-0.11,0.046,0.131,0.242,0.077,-0.009,0.059,0.27,-0.044,0.011,0.016,0.165,0.075
184,0.067,-0.02,0.127,0.208,0.135,0.179,0.191,0.172,-0.055,0.114,0.05,0.114,0.114,0.105,0.133,0.074,0.107
185,0.026,0.049,0.004,0.218,0.133,0.004,-0.024,0.207,0.044,0.079,-0.026,0.047,0.111,-0.092,0.1,-0.162,0.045
