Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.033,0.026,0.055,-0.056,-0.095,0.013,0.075,0.046,0.005,0.004,-0.087,0.059,0.014,0.04,-0.014,-0.065,-0.001
2,-0.037,0.07,0.068,-0.076,-0.084,0.065,0.025,-0.013,-0.098,0.075,-0.018,-0.014,-0.031,-0.054,-0.04,-0.054,-0.014
3,0.028,0.07,-0.089,0.09,-0.096,0.098,-0.075,0.039,-0.014,-0.062,-0.061,0.022,-0.016,-0.062,0.047,0.061,-0.001
4,-0.056,-0.083,-0.003,-0.013,0.087,-0.06,0.045,0.025,0.08,-0.016,0.013,0.05,-0.028,-0.023,-0.044,0.089,0.004
5,-0.054,0.017,-0.094,0.076,0.089,-0.027,-0.056,-0.08,0,-0.004,0.043,-0.089,-0.025,0.014,0.03,0.053,-0.007
6,-0.07,-0.072,0.017,-0.049,0.033,0.052,0.047,0.06,0.088,0.056,0.091,-0.046,-0.026,-0.083,0.067,-0.019,0.009
7,-0.069,-0.062,-0.026,0.052,-0.078,0.065,0.06,-0.017,-0.076,0.01,-0.031,-0.075,0.027,0.04,0.029,0.095,-0.004
8,-0.006,0.086,0.032,0.084,0.022,-0.073,-0.024,-0.03,-0.001,0.035,0.015,-0.094,0.084,0.062,-0.035,-0.038,0.007
9,0.043,-0.04,0.042,0.022,0.073,-0.077,-0.026,0.031,-0.086,0.07,-0.037,-0.063,-0.019,-0.046,-0.043,-0.027,-0.011
10,-0.06,0.098,0.065,0.032,0.022,-0.001,-0.076,0.001,0.083,0.032,-0.085,0.038,-0.015,-0.044,0.099,-0.041,0.009
11,0.046,0.073,-0.082,0.002,-0.004,-0.043,0.078,-0.064,0.032,-0.085,0.014,-0.085,0,-0.074,0.012,0.025,-0.01
12,-0.034,-0.08,-0.063,0.067,-0.07,-0.008,0.039,-0.011,-0.04,-0.072,0.03,-0.018,0.05,-0.071,-0.034,-0.099,-0.026
13,0.02,-0.06,0.018,0.052,-0.084,0.06,-0.005,0.063,-0.079,-0.009,-0.02,0.081,-0.079,0.015,-0.03,0.086,0.002
14,0.056,-0.093,-0.075,0.065,-0.05,-0.079,0.038,0.046,0.076,-0.067,-0.087,-0.043,-0.092,-0.001,-0.063,0.091,-0.017
15,-0.053,0.011,0.087,-0.009,0.048,-0.029,0.077,-0.084,0.05,0.009,0.016,0.098,0.073,0.02,-0.098,-0.065,0.009
16,0.036,-0.071,-0.096,0.075,0.068,-0.026,0.062,-0.033,0.093,-0.018,0.012,0.018,0.014,-0.064,0.028,0.056,0.01
17,0.085,0.098,-0.015,-0.038,-0.019,0.042,-0.063,0.082,0.072,-0.032,-0.007,0.015,-0.068,-0.023,-0.052,-0.051,0.002
18,0.056,-0.078,-0.044,-0.07,-0.029,0.018,0.051,0.068,0.038,0.013,0.093,0.086,-0.091,-0.035,-0.093,0.051,0.002
19,0.079,0.096,-0.037,-0.08,0.054,0.086,0.043,-0.029,-0.072,0.029,0.1,0.027,0.05,-0.045,-0.087,0.091,0.019
20,0.092,-0.036,0.088,-0.078,0.025,-0.005,-0.002,-0.058,0.062,0.098,0.097,0.001,-0.097,0.054,-0.052,-0.021,0.011
21,-0.069,0.001,-0.013,0.067,0.021,0.063,-0.073,0.016,-0.043,0.055,-0.051,-0.094,0.043,-0.065,-0.024,-0.086,-0.016
22,0.07,0.011,-0.008,0.033,-0.08,-0.027,-0.08,-0.028,-0.065,0.055,-0.068,-0.022,-0.096,0.086,0.079,-0.033,-0.011
23,-0.065,0.052,-0.044,0.071,-0.045,0.06,0.056,-0.045,-0.096,-0.062,0.028,-0.017,0.1,0.037,-0.018,-0.02,-0.001
