Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.001,0.003,-0.004,-0.001,0.003,-0.001,0.005,0.013,0.008,0.012,-0.002,0,-0.001,0.005,0.001,-0.005,0.002
2,-0.001,0.002,0.01,0.009,-0.002,0.003,0.008,0.008,0.009,-0.005,-0.005,0.011,0.013,0.003,0.003,0.009,0.005
3,0.01,0.004,-0.002,-0.008,-0.005,0.006,0.011,0.01,0.015,-0.004,0.009,0.027,0.003,0.007,-0.005,0.015,0.006
4,0.01,0,0.009,0.002,-0.003,0.006,-0.001,0.007,0.017,-0.005,0.026,0,0.004,-0.01,-0.016,0.015,0.004
5,0.005,0.022,-0.004,-0.022,0.01,0,0.012,0.024,0.009,-0.003,-0.013,0.01,0.006,0.01,-0.002,0.005,0.004
6,-0.003,0.013,0.02,0.024,0.008,0.007,0.022,-0.003,0.006,0.008,-0.007,0.01,-0.011,0.005,0.032,0.001,0.008
7,0.009,0.032,0.013,-0.009,0.001,-0.001,0.014,0.037,-0.018,0.004,-0.005,0.032,0.003,0.007,0.002,0.028,0.009
8,-0.01,0.002,-0.012,-0.011,0.013,0.009,0.005,-0.009,0.019,0.012,-0.009,0.019,-0.002,0.04,-0.013,-0.004,0.003
9,0.021,0.017,0.007,0.027,-0.01,0.016,0.032,-0.008,0.018,0.015,-0.015,-0.015,-0.01,0.011,0.011,-0.021,0.006
10,0.019,0.021,0.001,0.001,-0.007,0.003,0.01,0.019,-0.011,-0.017,0.033,-0.027,0.013,-0.006,0.034,-0.016,0.004
11,0.006,0.033,0.02,0.026,0.034,0.014,0.006,-0.004,0.025,0.009,0.034,0.034,0.011,0.011,-0.026,0.05,0.018
12,-0.005,0.024,-0.012,-0.006,0.022,0.007,-0.026,0.009,0.019,0.058,-0.003,-0.009,0.016,0.037,0.02,0.021,0.011
13,-0.015,0.003,-0.005,-0.009,0.032,0.039,0.028,0.033,0.008,0.031,-0.009,-0.019,-0.012,0.007,-0.004,0.078,0.012
14,-0.006,-0.013,0.012,0.022,-0.013,-0.005,-0.011,0.034,-0.007,0.028,0.014,0.001,-0.02,-0.004,0.01,0.024,0.004
15,0.017,0.02,0.054,0.009,-0.01,0.037,0.005,-0.04,0.026,0.028,-0.006,-0.006,-0.003,0.011,0.038,0.032,0.013
16,-0.007,0.053,-0.019,0.07,0.024,0.024,0.028,0.059,0.008,0.006,0.023,0.038,0.016,0.031,-0.016,0.048,0.024
17,0.03,0.013,0.01,-0.011,-0.006,0.043,0.023,-0.023,0.009,-0.001,0.066,-0.021,-0.002,0.021,0.079,-0.025,0.013
18,0.001,-0.005,-0.002,0.036,-0.004,0.011,0.048,0.02,0.027,0.061,0.004,0.006,0.022,0.032,-0.019,0.029,0.017
