Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.006,0.003,-0.003,0.002,0.001,0,0.001,-0.005,0.004,0.001,0.008,-0.003,0.005,0.009,-0.001,0.001,0.002
2,0.001,-0.006,-0.007,0.013,0.001,0.001,-0.001,0.007,-0.004,0.005,0.002,0,0.004,0.008,0,0.018,0.003
3,0.014,-0.004,-0.011,-0.014,0,0.004,-0.008,0.001,-0.002,0.005,0.013,0.004,0.005,0.007,0.005,0.008,0.002
4,-0.005,-0.01,0.005,0.01,-0.003,0.002,-0.005,0,0.014,-0.006,-0.016,0.034,0.003,0.014,0.001,0.002,0.003
5,-0.004,0.018,-0.005,-0.014,-0.013,0.006,-0.009,-0.004,0.001,0.003,-0.001,0.028,0.02,0.007,0.005,0.002,0.002
6,-0.009,0.009,-0.002,-0.019,0.009,0.032,0.004,0.047,0.004,-0.011,-0.021,0.023,0,0,0.015,-0.02,0.004
7,0.005,-0.009,-0.033,-0.005,0.014,0.02,0.025,-0.006,-0.008,0.029,-0.022,-0.008,-0.006,-0.01,0,0.02,0
8,0.003,-0.011,0.012,-0.014,0.001,0.006,0.022,0.017,-0.001,0,-0.005,0.06,-0.004,-0.002,-0.009,0.015,0.006
9,-0.022,0.036,-0.012,-0.021,-0.016,0.001,-0.005,0.004,-0.017,-0.007,0.001,-0.001,0.005,-0.007,-0.025,0.014,-0.005
10,0.001,-0.006,-0.02,0.024,-0.012,0.004,0.026,-0.011,-0.006,0.017,-0.002,0.019,-0.002,0.001,0.018,-0.005,0.003
11,-0.003,-0.002,-0.021,0.025,-0.013,0.035,-0.014,-0.014,0.021,0.01,-0.017,0.006,0.007,0.022,-0.034,0.009,0.001
12,0.008,0.021,-0.027,-0.019,-0.016,0.03,0.017,0.005,0.023,0.005,-0.007,0.004,0.014,0.022,-0.024,-0.013,0.003
13,0.008,0.008,0.005,-0.006,-0.015,0.051,-0.002,0.014,-0.02,0.003,-0.022,-0.007,-0.021,0.018,-0.026,-0.031,-0.003
14,0.016,-0.006,-0.033,-0.03,-0.007,-0.028,-0.002,-0.036,0.02,0.017,-0.038,-0.019,-0.006,0.046,-0.018,-0.001,-0.008
15,-0.007,0.013,-0.026,0.016,0.006,0.015,0.031,0.006,0.024,-0.008,0.027,-0.023,-0.03,0.028,-0.016,-0.026,0.002
16,-0.01,-0.009,-0.055,-0.003,0.015,-0.002,-0.008,0.032,-0.024,-0.012,-0.003,-0.03,-0.006,0.006,-0.035,-0.003,-0.009
17,-0.027,0.012,0.007,0.012,0.002,0.038,-0.037,-0.04,0.006,-0.012,-0.037,0.013,-0.004,0.042,0.039,0.011,0.002
18,0.002,-0.003,0.025,0.004,-0.036,-0.002,-0.048,0.046,0,0,-0.044,-0.014,-0.008,0.006,0.014,0.008,-0.003
19,-0.022,0.017,0.003,-0.063,0.004,-0.018,0.036,0,-0.016,0.005,-0.023,-0.025,0.02,0.026,-0.028,0.009,-0.005
20,-0.024,0.039,0.013,0.011,0.003,0.03,-0.041,-0.026,-0.018,-0.014,0,-0.043,0.022,0.025,0.013,-0.017,-0.002
21,-0.012,0.022,-0.032,0.003,-0.009,0.008,-0.014,0.016,0.01,-0.016,-0.018,-0.003,0.004,-0.01,-0.031,-0.032,-0.007
22,0.028,-0.006,-0.019,0.016,-0.011,-0.028,-0.017,-0.006,-0.008,-0.001,-0.041,-0.009,0.024,0.041,0.009,0.02,0
23,-0.007,0.042,0.002,-0.001,0.005,-0.02,-0.014,0.006,0.005,-0.034,-0.066,0.027,-0.016,0.016,-0.014,0.029,-0.003
24,-0.013,0.003,-0.03,-0.015,-0.024,0.01,-0.041,0.018,-0.03,0.035,0.019,-0.005,0.022,0.053,-0.047,-0.042,-0.005
25,-0.024,-0.041,-0.001,0,0.024,0,-0.053,-0.002,-0.011,-0.02,-0.06,0.002,0.014,0.053,-0.041,0.025,-0.008
26,-0.016,-0.027,-0.045,-0.039,-0.007,0,-0.015,0.031,-0.026,-0.004,-0.022,-0.031,-0.021,0.074,-0.006,-0.033,-0.012
27,0.009,0.041,-0.004,0.004,-0.039,-0.002,-0.071,0,0.013,-0.013,0.002,0.003,0.015,0.014,0.007,-0.029,-0.003
28,-0.035,-0.035,-0.076,0.009,-0.002,0.014,0.027,0.034,-0.018,-0.023,-0.055,-0.084,0.032,0.041,0.009,-0.022,-0.011
29,-0.025,-0.008,-0.056,-0.005,-0.007,0.019,-0.021,0.007,-0.014,0.003,-0.034,0.014,-0.057,-0.012,-0.065,0.071,-0.012
30,-0.014,-0.032,0.003,-0.042,0.005,0.016,0.006,-0.07,-0.002,0.041,-0.065,-0.005,0.007,0.037,-0.04,-0.017,-0.011
31,-0.077,-0.004,0.013,-0.004,-0.025,0.023,0.002,0.001,0.016,-0.003,0.004,0.009,0.044,0.021,0.016,-0.039,0
32,-0.02,-0.036,-0.006,-0.032,-0.011,0.026,-0.026,-0.01,-0.001,-0.039,-0.036,0.011,0.014,-0.011,-0.048,-0.062,-0.018
33,-0.024,-0.034,-0.004,-0.012,-0.006,0.117,-0.065,0.001,-0.029,-0.009,-0.007,-0.012,-0.06,-0.028,0.025,-0.07,-0.014
34,-0.002,0.036,0.002,-0.019,0.001,0.039,0.001,0.003,-0.014,0.015,-0.002,0.002,0.01,-0.023,0.028,0.015,0.006
35,-0.018,-0.028,-0.042,-0.064,-0.003,0.002,0.019,0.022,-0.023,-0.042,-0.042,0.016,-0.012,0.074,-0.037,0.094,-0.005
36,-0.046,-0.01,-0.015,0.057,-0.012,0.051,-0.034,0.003,0.016,-0.004,-0.046,-0.096,0.024,0.004,-0.059,0.062,-0.007
37,-0.041,0.022,-0.016,-0.032,-0.018,0.032,-0.074,-0.042,-0.022,0.038,-0.049,-0.004,-0.001,0.008,-0.056,0.041,-0.013
