Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.007,0.004,0.002,0.001,-0.001,-0.001,0.003,0.002,-0.004,-0.003,-0.004,0.005,0.001,0.011,0,0.007,0.002
2,-0.005,0.01,-0.005,0.008,0,0.002,-0.005,0,-0.003,-0.001,-0.005,0.016,0.007,0.011,-0.001,0.004,0.002
3,0.01,0.003,0.003,-0.002,0.003,0.018,-0.004,-0.004,0,-0.004,-0.013,-0.003,0.002,-0.003,-0.01,0.007,0
4,-0.008,-0.004,-0.013,0,-0.005,0.013,0.005,0.005,0.006,-0.006,-0.003,-0.001,0.002,-0.004,0.003,0.011,0
5,0.009,0.009,-0.003,-0.002,0.007,0.008,-0.018,0,-0.001,0.001,-0.009,-0.007,-0.001,0.005,-0.015,0.005,-0.001
6,-0.01,0.008,0.001,-0.006,-0.008,0.012,-0.001,-0.012,-0.014,-0.003,-0.013,-0.011,-0.007,0.006,-0.003,0.01,-0.003
7,-0.017,-0.01,0.007,0.004,0.005,0.007,-0.009,0.003,-0.016,-0.008,0.001,-0.031,0.003,0.01,0.017,0.01,-0.002
8,0.007,-0.009,0.006,0.014,0.002,-0.001,0.005,0.047,-0.008,0.001,-0.011,-0.006,0.004,0.013,-0.029,0.014,0.003
9,-0.002,0.017,-0.005,-0.014,-0.01,0.008,-0.012,-0.029,0.004,-0.002,-0.025,0.003,-0.02,0.001,-0.002,0.028,-0.004
10,-0.001,-0.002,-0.003,-0.013,0.004,0.003,0.026,0.018,-0.003,0.036,-0.02,-0.002,0.02,0.027,-0.017,-0.003,0.004
11,0.002,-0.001,-0.026,-0.008,0.017,0.016,-0.014,0.023,0.002,-0.017,-0.013,0,-0.01,0.017,-0.03,-0.015,-0.004
12,-0.013,-0.012,-0.003,-0.022,-0.006,0.014,0.003,0.01,-0.006,0.015,-0.003,-0.015,0,0.01,-0.004,0.017,-0.001
