Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.012,-0.003,0,-0.001,0.004,0.01,0.009,0.012,-0.001,0.003,0.007,-0.001,0.005,0.005,0.005,-0.001,0.004
2,0.01,0.007,0.006,-0.003,0.005,0.007,0.019,0.006,-0.002,0.003,0.001,0.008,-0.001,0.001,0.005,-0.003,0.004
3,0.003,-0.002,0.002,-0.002,0.017,0.009,0.004,0.001,0.003,0.005,-0.014,-0.004,0.007,-0.001,0.003,-0.002,0.002
4,-0.008,-0.009,0.016,-0.011,0.017,0.009,-0.007,0.013,0.002,-0.004,-0.004,0.012,0.019,0,-0.006,0.001,0.003
5,0.018,0.015,-0.01,0.036,0.016,0.005,-0.011,0.012,0.006,-0.011,-0.008,-0.005,-0.004,0.019,-0.007,-0.008,0.004
6,-0.004,0.002,-0.004,-0.018,0.02,0.01,0.001,-0.01,0.008,-0.004,-0.019,-0.004,0.017,0.008,-0.013,-0.019,-0.002
7,0.001,0.001,-0.004,-0.001,0,0.004,-0.021,0.026,-0.01,0.012,-0.006,0.013,0.008,0.012,-0.003,-0.013,0.001
8,-0.012,0.013,0.002,0.004,-0.007,0.017,-0.001,0.023,-0.014,0.017,-0.017,0.022,-0.012,-0.008,0.04,-0.002,0.004
9,0.015,0.009,0.001,0,0.012,-0.007,0.003,0.012,-0.006,-0.009,-0.007,0.03,-0.005,0.012,0.016,-0.011,0.004
10,-0.018,0.001,-0.034,-0.012,-0.009,0.024,0.025,0.006,-0.022,0.005,-0.01,0.007,-0.003,0.027,-0.01,0.006,-0.001
11,-0.021,0.002,-0.02,-0.022,-0.007,0.001,-0.024,0.004,0,0.036,-0.032,-0.012,-0.002,-0.004,0.006,-0.026,-0.008
12,-0.025,-0.011,0.001,-0.005,0.014,0.009,-0.022,0.04,0.001,0.013,-0.007,-0.002,0.016,0.016,-0.008,0.032,0.004
13,-0.025,0.024,0.001,0.005,0.013,0.034,-0.029,0.012,-0.031,0.016,-0.039,-0.005,-0.021,-0.011,-0.014,-0.004,-0.005
14,0.007,-0.008,-0.006,0.012,0.011,0.007,-0.023,-0.03,0.011,-0.009,-0.011,0.007,-0.017,-0.007,0.022,-0.021,-0.003
15,-0.004,0.039,-0.026,-0.054,-0.006,0.007,-0.003,0.03,-0.009,0.007,-0.015,-0.016,-0.006,-0.013,-0.001,-0.029,-0.006
16,-0.01,0.008,-0.032,-0.025,0.004,0.006,0.001,0.003,0.005,-0.029,-0.052,-0.041,-0.02,0.002,-0.02,-0.009,-0.013
17,0.015,0.021,-0.025,-0.046,-0.001,0.011,0.012,0.049,-0.015,0.008,0.003,-0.042,-0.024,0.008,0.036,0.065,0.005
18,-0.001,0.001,-0.044,-0.048,0.005,0.007,0.008,0.035,-0.01,0.029,-0.019,-0.052,-0.008,0.012,-0.034,0.021,-0.006
19,-0.009,-0.007,-0.023,-0.002,-0.022,-0.014,-0.01,0.069,0,0.037,-0.012,-0.035,0.032,-0.017,-0.065,-0.002,-0.005
20,-0.004,-0.039,-0.033,-0.037,-0.012,-0.014,0.01,-0.007,-0.03,0.03,-0.046,-0.042,0.005,0.007,-0.045,-0.03,-0.018
21,-0.019,-0.031,0.008,-0.008,-0.027,0.007,0.013,0.016,-0.019,-0.009,0.006,-0.008,-0.035,0.014,-0.011,0.035,-0.004
22,-0.016,-0.015,-0.008,0.018,0.021,0.036,-0.026,-0.025,-0.027,-0.008,-0.029,-0.038,-0.003,-0.008,0.009,-0.026,-0.009
23,-0.049,0.034,-0.005,-0.058,0.014,0.009,0.021,-0.006,0.008,-0.016,-0.021,-0.037,-0.006,0.002,0.007,0.013,-0.006
24,0.006,0.007,-0.068,-0.051,0.01,-0.004,0.03,0.002,-0.019,0.021,-0.046,-0.033,0.005,0.026,-0.004,0.07,-0.003
25,0.039,-0.027,-0.024,-0.001,-0.057,-0.007,-0.01,0.042,0.005,0.026,0.054,-0.014,-0.014,0.003,-0.028,-0.033,-0.003
26,-0.026,-0.039,-0.041,-0.003,-0.009,-0.015,-0.049,0.009,0.008,-0.001,-0.026,-0.02,-0.02,-0.012,0.001,0.049,-0.012
27,-0.025,0.052,-0.021,0.007,-0.021,-0.002,-0.01,-0.036,-0.008,0.035,-0.035,-0.007,0.006,-0.01,-0.036,0.021,-0.006
28,-0.032,-0.022,-0.051,0.01,-0.017,0.017,0.001,0.016,-0.02,0.033,-0.082,-0.045,0.01,-0.011,-0.002,-0.035,-0.014
29,-0.007,-0.007,-0.044,0.011,-0.013,0.003,-0.051,-0.009,-0.024,-0.045,-0.027,0.018,-0.026,0.021,0.006,-0.078,-0.017
30,-0.02,-0.021,-0.062,0.042,-0.016,0.06,-0.06,-0.036,-0.02,0.043,-0.04,0.009,-0.011,0.027,-0.049,-0.064,-0.013
31,-0.025,0.004,0.004,-0.021,-0.02,-0.024,-0.086,-0.044,0.029,-0.019,-0.042,-0.011,-0.045,0.048,-0.021,-0.02,-0.018
32,0.001,0,-0.053,-0.055,-0.039,-0.028,-0.032,0.029,-0.055,0.006,-0.015,0.044,-0.027,0.001,0.011,-0.011,-0.014
33,-0.009,0.008,-0.058,-0.057,-0.04,0.046,0.004,-0.061,-0.027,0.027,-0.029,-0.096,0.021,0.019,0.01,-0.023,-0.017
34,0.022,0.005,-0.003,0.074,-0.032,0.019,-0.038,-0.046,0.01,-0.003,-0.007,-0.004,-0.017,-0.021,-0.044,-0.052,-0.009
35,-0.012,0.005,-0.01,-0.029,-0.013,-0.038,-0.066,-0.02,-0.008,0.011,0.018,-0.04,0.037,-0.015,0.002,0.044,-0.008
36,-0.025,-0.02,-0.076,-0.035,0.068,0.087,-0.044,-0.004,-0.006,0.011,-0.032,-0.004,-0.043,0.052,-0.009,-0.021,-0.006
37,-0.041,-0.031,-0.052,-0.038,0.009,0.089,-0.033,0.04,-0.026,-0.011,-0.014,-0.025,-0.032,0.05,-0.048,-0.117,-0.017
38,-0.05,-0.023,-0.042,-0.063,0.046,0.036,-0.067,0.069,-0.015,0.011,0.053,-0.051,-0.021,-0.04,-0.013,-0.03,-0.012
39,-0.011,0.028,-0.041,-0.019,-0.002,-0.038,-0.01,-0.002,-0.047,-0.027,-0.023,-0.083,0.024,0.024,-0.038,0.066,-0.012
40,0.003,-0.029,0.01,-0.03,0.039,0.054,0.05,0.05,-0.034,0.024,-0.038,0.075,-0.001,-0.005,-0.047,-0.044,0.005
41,-0.04,-0.034,-0.015,-0.075,-0.036,-0.02,0.054,0.008,0.029,0.081,-0.023,0.026,-0.013,0.016,-0.079,-0.026,-0.009
42,-0.03,0.008,-0.054,0.035,-0.052,0.061,-0.106,-0.097,-0.032,0.001,-0.021,-0.001,-0.013,-0.004,-0.075,-0.076,-0.029
43,-0.037,0.078,-0.066,-0.062,0.011,0.046,-0.008,-0.043,-0.022,-0.03,0.004,-0.026,-0.044,0.013,-0.052,0.017,-0.014
44,-0.005,-0.08,-0.047,0.072,-0.012,0.036,-0.027,-0.034,0.003,-0.014,0.007,-0.026,0.001,-0.018,-0.083,-0.09,-0.02
45,0.002,-0.019,-0.042,-0.087,-0.009,0.005,-0.029,0.06,-0.017,-0.009,-0.078,0.005,0.01,0.048,-0.04,0.097,-0.006
46,-0.005,0.019,0.033,-0.022,-0.074,0.058,-0.031,-0.11,-0.025,-0.005,-0.049,0.057,0.002,0.031,0,0.033,-0.005
47,-0.019,-0.066,-0.041,-0.025,0.028,0.011,-0.068,0.099,-0.017,-0.03,-0.004,0.019,-0.052,0.067,-0.015,-0.084,-0.012
48,-0.042,-0.05,-0.018,-0.042,-0.001,-0.018,-0.021,-0.061,-0.006,0.024,-0.067,0.033,-0.002,0.029,-0.016,-0.023,-0.018
49,0.004,-0.054,-0.06,-0.037,-0.073,-0.019,-0.021,-0.02,-0.036,-0.053,-0.045,0.007,-0.038,-0.026,-0.05,-0.003,-0.033
50,-0.038,0.016,0.068,-0.041,-0.077,-0.039,0.054,-0.074,0.02,-0.047,-0.035,-0.022,0.031,-0.015,-0.044,-0.067,-0.019
51,-0.035,-0.011,0.008,-0.027,-0.02,0.067,-0.056,0.037,-0.009,-0.044,0.027,-0.131,-0.053,0.088,-0.066,-0.089,-0.02
52,-0.025,0.059,0.008,-0.069,-0.053,0.038,-0.032,-0.086,-0.004,0.033,-0.001,-0.087,-0.073,0.02,-0.042,-0.022,-0.021
53,-0.024,-0.005,-0.048,-0.033,-0.006,0.004,0.026,0.036,-0.005,0.054,-0.064,-0.03,-0.01,0.019,-0.03,-0.013,-0.008
54,-0.045,-0.029,-0.064,-0.04,-0.001,0.011,0.034,-0.034,-0.052,0.041,-0.02,-0.017,-0.024,0.046,-0.039,-0.046,-0.017
55,-0.022,0.028,-0.021,-0.024,0.004,-0.007,0.035,-0.056,-0.023,-0.007,0.008,-0.054,-0.04,0.107,0.017,-0.039,-0.006
56,-0.041,0.024,0.056,0.028,0.039,0.026,-0.031,0.005,0.043,-0.032,-0.065,-0.053,0.013,-0.027,0.045,0.007,0.002
57,-0.069,0.083,-0.046,0.015,-0.07,0.04,-0.073,0.015,-0.029,-0.021,-0.041,-0.147,-0.009,0.036,0.016,0.054,-0.015
58,0.017,-0.027,-0.063,-0.017,-0.041,-0.032,-0.032,-0.059,0,-0.047,-0.075,-0.056,0.008,-0.035,-0.075,-0.082,-0.038
59,-0.047,0.016,-0.093,-0.093,-0.027,-0.01,0.011,-0.034,-0.068,0.053,-0.09,-0.099,0.012,0.005,-0.042,0.063,-0.028
60,-0.019,0.023,-0.017,0.01,0.042,0.001,-0.043,0.001,0.012,0.056,-0.035,-0.072,-0.055,0.172,-0.013,-0.007,0.003
61,-0.058,-0.013,-0.128,0.027,-0.048,-0.004,-0.003,-0.015,-0.001,-0.024,0.001,-0.034,0.004,0.04,-0.022,-0.094,-0.023
62,0.038,0.091,-0.095,-0.116,-0.086,-0.01,0.004,0.028,0.006,-0.034,-0.046,-0.025,-0.001,0.056,0.034,-0.05,-0.013
63,-0.024,-0.005,-0.068,0.039,-0.017,0.007,-0.003,0.052,-0.062,0.007,-0.075,-0.108,-0.021,0.072,-0.113,-0.161,-0.03
64,0.001,-0.073,0.006,0.022,0.002,-0.071,-0.077,-0.184,0.039,-0.01,-0.018,-0.053,-0.05,-0.041,-0.077,-0.021,-0.038
65,-0.048,-0.052,-0.065,-0.112,-0.044,0.028,-0.027,-0.054,-0.057,0.082,-0.012,-0.014,0.028,-0.006,-0.074,0.046,-0.024
66,-0.012,0.088,-0.055,-0.095,-0.019,-0.034,-0.096,0.065,-0.037,0.024,-0.038,-0.052,-0.088,0.096,-0.131,-0.06,-0.028
67,-0.032,0.015,-0.122,-0.093,-0.033,-0.03,-0.041,-0.08,-0.044,0.035,-0.059,-0.046,-0.062,-0.013,-0.051,0.014,-0.04
68,-0.027,0.011,-0.069,-0.001,-0.094,-0.035,-0.033,-0.015,-0.02,-0.032,-0.069,-0.037,0.025,-0.016,-0.084,-0.059,-0.035
69,-0.023,0.001,-0.116,-0.124,-0.066,0.039,-0.042,-0.101,-0.012,-0.033,-0.038,-0.098,-0.002,0.021,-0.043,-0.077,-0.045
70,-0.011,0.01,-0.053,0.111,-0.037,-0.008,-0.105,-0.056,-0.085,-0.024,-0.07,-0.107,-0.087,0.053,-0.027,0.002,-0.031
71,-0.102,-0.048,-0.135,-0.021,-0.086,0.032,-0.093,-0.065,-0.007,-0.057,0.004,-0.064,-0.05,0.078,-0.074,-0.109,-0.05
72,-0.036,-0.066,-0.078,-0.086,0.029,0.047,-0.015,0.024,-0.054,-0.042,-0.008,-0.058,-0.049,0.035,-0.003,-0.023,-0.024
73,-0.008,-0.013,-0.098,-0.049,-0.025,0.028,0.002,-0.038,-0.048,0.012,-0.116,-0.115,0.059,-0.014,0.002,-0.03,-0.028
