Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.027,-0.013,0.077,0.064,0.058,0.063,-0.07,-0.065,-0.044,-0.093,0.092,-0.015,0.076,-0.042,-0.034,-0.014,0.001
2,0.091,-0.017,-0.052,-0.034,-0.034,-0.006,-0.023,-0.072,0.021,-0.026,0.099,-0.058,-0.069,-0.099,0.035,0.042,-0.013
3,0.017,-0.02,0.089,0.018,0.081,-0.078,0.087,0.06,0.047,0.021,-0.07,0.093,0.097,0.098,-0.037,0.059,0.035
4,0.029,-0.055,-0.059,0.068,0.088,-0.052,-0.027,0.093,0.096,0.069,-0.054,0.074,0.065,0.043,-0.037,-0.062,0.017
5,-0.085,0.008,-0.047,0.02,0.002,-0.034,-0.025,0.069,0.028,0.033,-0.064,-0.07,0.089,0.009,0.015,0.033,-0.001
6,0.064,0.08,0.038,0.047,-0.008,-0.075,0.086,0.014,-0.028,-0.052,-0.043,0.077,0.052,0.089,-0.084,0.03,0.018
7,-0.007,0.057,0.048,0.059,0.064,-0.074,0.095,0.01,0.02,-0.044,-0.096,-0.067,0.029,0.095,0.038,-0.016,0.013
8,0.086,0.064,-0.013,0.015,-0.074,0.078,-0.09,0.075,0.056,-0.054,0.007,0.004,0.024,-0.068,0.061,0.042,0.013
9,-0.005,0.065,0.083,-0.003,0.016,-0.083,-0.029,-0.071,0.069,0.038,0.019,-0.069,-0.025,0.099,-0.014,-0.055,0.002
10,0.081,-0.083,-0.03,0.059,0.09,0.043,-0.091,-0.016,0.038,-0.06,-0.061,-0.085,0.043,0.064,0.005,0.012,0.001
11,-0.016,0.09,-0.03,0.054,-0.097,0.047,-0.014,-0.069,0.022,-0.034,0.081,0.042,0.093,0.013,0,0.066,0.016
12,-0.079,0.028,-0.048,0.038,-0.062,0.091,-0.003,-0.086,0.04,-0.027,-0.069,-0.086,0.066,-0.065,-0.033,0.034,-0.016
13,-0.078,-0.024,-0.092,0.072,0.046,-0.027,-0.058,-0.064,-0.067,0.064,0.028,0.003,-0.036,0.09,0.066,0.098,0.001
14,0.034,0.032,0.047,0.017,0.068,-0.073,0.044,0.073,0.017,0.069,0.074,0.05,0.079,-0.033,-0.042,0.054,0.032
15,-0.039,-0.051,-0.09,-0.075,0.053,-0.045,-0.093,-0.099,0.068,0.066,0.036,0.085,0.038,-0.037,0.005,0.022,-0.01
16,0.041,0.096,-0.042,-0.032,-0.015,0.074,-0.005,-0.078,0.036,-0.098,0.024,0.056,0.027,0.078,-0.061,0.063,0.01
17,-0.022,0.057,0.091,0.022,-0.027,0.08,0.041,0.028,-0.088,-0.017,0.026,-0.039,-0.087,-0.071,-0.077,-0.008,-0.006
18,0.063,0.075,-0.043,0.066,0.036,0.039,-0.059,0.025,0.043,-0.089,-0.073,-0.032,-0.075,-0.052,-0.05,-0.086,-0.013
19,-0.006,-0.069,0.053,0.05,-0.007,-0.061,0.029,-0.097,0.091,-0.057,0.003,-0.099,-0.086,-0.02,0.016,0.088,-0.011
20,0.077,0.053,0.031,0.068,-0.093,0.088,-0.099,-0.029,0.091,0.085,0.077,0.025,0.079,-0.009,0.071,-0.038,0.03
21,0.084,-0.076,0.085,-0.037,0.049,0.032,-0.003,-0.069,-0.095,0.06,-0.054,0.032,0.009,-0.02,0.078,-0.095,-0.001
22,0.017,0.082,0.055,-0.054,0.074,0.006,0.043,-0.059,0.056,0.099,-0.069,-0.043,0.089,-0.074,0.062,-0.04,0.015
23,-0.021,-0.09,-0.078,-0.083,0.04,0.019,-0.031,0.016,0.047,0.09,-0.052,-0.054,-0.053,0.025,0.05,0.042,-0.008
24,-0.058,0.042,0.01,-0.076,0.046,-0.05,0.009,-0.038,0.046,0.036,0.097,0.016,0.047,0.052,-0.062,-0.017,0.006
25,-0.022,0.058,0.064,0.028,-0.025,-0.067,-0.091,-0.047,-0.059,0.017,0.021,-0.003,0.021,-0.013,0.001,0.034,-0.005
26,-0.039,-0.067,0.011,0.086,-0.026,0.094,0.062,-0.029,0.018,-0.047,-0.023,-0.015,0.087,0.056,0.015,-0.011,0.011
27,0.048,0.089,0.005,0.004,-0.054,0.022,0.037,0.055,0.052,0.025,0.064,-0.038,-0.032,-0.078,0.065,-0.061,0.013
28,0.073,0.052,-0.063,-0.055,-0.069,-0.075,0.031,-0.079,0.044,0.089,0.063,-0.074,0.096,0.052,-0.041,-0.05,0
29,0.061,-0.086,0.057,-0.019,0.023,0.066,-0.097,-0.018,0.028,-0.031,0.061,-0.004,0.024,-0.027,0.029,-0.013,0.003
30,0.065,0.033,-0.052,0.058,-0.058,-0.035,-0.001,-0.033,0.036,-0.082,0.005,0.093,0.052,-0.051,0.078,0.052,0.01
31,0.002,-0.021,-0.087,0.017,0.01,-0.066,0.047,0.093,0.036,-0.075,0.077,0.029,0.05,0.038,-0.035,0.032,0.009
32,0.071,0.007,0.022,-0.075,0.047,0.034,0.099,-0.062,-0.044,-0.007,-0.021,0.025,-0.059,-0.057,-0.051,0.043,-0.002
33,-0.055,-0.076,-0.074,-0.065,-0.093,-0.055,-0.046,-0.077,-0.009,0.032,-0.041,0.051,0.015,-0.004,-0.075,-0.096,-0.042
34,0.026,-0.068,-0.051,0.012,0.073,0.085,0.013,0.012,0.092,0.055,0.05,-0.06,-0.087,0.032,-0.062,-0.056,0.004
35,0.095,0.077,0.09,-0.012,0.082,0.078,-0.052,-0.001,-0.079,-0.056,-0.072,-0.032,-0.015,-0.085,0,-0.087,-0.004
