Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.006,-0.002,-0.003,0.001,0.002,0.007,0.001,0.007,0,-0.001,0,0.002,0.002,0.004,0.006,0.005,0.002
2,0.01,-0.001,0.005,0.002,-0.001,0.005,-0.002,0.006,0.003,0.012,-0.006,0.009,-0.004,0.003,0.01,0.004,0.003
3,0.005,0,0.001,0.002,0.013,0.005,0.004,0.009,0.008,-0.001,0.001,-0.008,-0.002,-0.005,0.003,0.003,0.002
4,-0.002,0.004,0.004,0.022,0.011,0.017,0.016,0.012,0.003,0.006,-0.001,0.001,-0.001,0.005,0.003,0,0.006
5,-0.003,0.002,0.014,-0.009,0.005,0.007,-0.007,0.01,0.009,-0.002,0,-0.004,0.001,0,-0.005,0.014,0.002
6,0.006,0.016,-0.009,0.032,0.01,0.001,0.018,0.032,-0.001,0.007,-0.01,0.023,0.002,0.011,0.014,0.006,0.01
7,-0.016,0.009,0.001,0.017,0.022,-0.015,0.017,0.03,0.007,0,0.011,0.041,0.004,0.011,0.001,-0.016,0.008
8,0.003,0.015,0.002,-0.024,0.017,0.01,0.006,0.022,-0.001,0.017,0.004,-0.009,0.003,0.017,0.013,0.014,0.007
9,-0.004,-0.007,0.028,-0.001,0.01,0.036,0.016,-0.002,-0.01,0.041,-0.004,0.014,0.01,0.004,0.013,0.038,0.011
10,0.008,-0.004,0.015,0.013,0.011,0.009,-0.008,-0.001,0.017,0.004,0.022,0.007,0.005,0.011,-0.004,0.053,0.01
11,0.013,0.003,0.007,0.009,0.016,-0.009,0.015,0.01,-0.004,0.013,-0.005,0.018,-0.016,0.011,0.007,-0.007,0.005
12,0.014,0.001,0.022,0.029,0.006,0.055,0.016,0.043,0.001,0.007,0.011,-0.004,0.009,-0.009,0.014,0.016,0.014
