Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.062,0.082,-0.099,-0.057,-0.094,0.057,-0.012,0.019,-0.056,0.023,-0.077,-0.052,-0.052,0.077,0.064,-0.018,-0.016
2,-0.015,0.098,-0.086,0.019,-0.077,-0.094,0.049,0.049,-0.093,-0.04,-0.007,-0.053,0.005,0.018,-0.03,0.025,-0.014
3,0.067,0.056,-0.063,0.084,-0.074,-0.1,-0.079,0.053,0.075,0.066,-0.026,-0.081,0.024,0.056,0.007,0.055,0.008
4,-0.056,0.068,0.082,-0.08,0.023,-0.05,0.054,-0.039,0.046,-0.05,0.093,-0.094,0.05,-0.053,0.028,-0.096,-0.005
5,-0.04,0.007,-0.077,0.076,0.096,-0.042,-0.005,-0.025,0.041,-0.064,-0.082,0.049,-0.063,0.079,0.021,-0.055,-0.005
6,-0.04,0.056,0.071,0.077,0.039,-0.027,0.087,0.076,0.086,-0.037,0.009,-0.014,0.01,0.023,-0.021,0.062,0.029
7,-0.088,0.086,0.007,-0.022,-0.032,0.051,-0.082,0.003,0.06,0.051,0.006,-0.046,-0.051,-0.07,-0.052,-0.048,-0.014
8,0.007,0.008,0.015,0.086,-0.057,0.022,0.099,0.085,-0.066,0.014,0.059,-0.029,-0.095,-0.004,0.08,0.09,0.02
9,-0.021,0.07,-0.098,-0.078,-0.074,-0.024,-0.069,0.095,0.065,-0.071,-0.08,-0.032,-0.012,0.057,0.082,0.051,-0.009
10,0.033,0.077,0.053,0.01,-0.038,-0.098,-0.048,0.08,0.012,-0.012,-0.023,-0.025,0.017,-0.098,0.02,0.026,-0.001
11,0.096,-0.039,0.032,0.093,-0.026,0.036,0.063,-0.086,0.066,0.053,-0.043,0.099,-0.019,-0.087,0.064,0.074,0.024
12,-0.009,-0.073,-0.001,-0.011,-0.064,-0.063,0.069,0.09,0.099,-0.094,0.019,-0.076,0.076,0,0.095,-0.004,0.003
