Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0,0.005,0.011,0.005,-0.001,-0.002,0.003,0.006,0,0.002,-0.002,0,0.006,0,0.002,0.007,0.003
2,0.003,-0.001,0.013,0.024,-0.002,0.002,0.002,-0.002,0.001,0.006,0,-0.001,0.004,0.003,0.009,0.005,0.004
3,0.009,0.002,-0.004,-0.002,0,-0.002,0.004,0.003,0.001,0.008,-0.009,0.023,0.008,0.007,0.014,0.008,0.004
4,0.005,0.008,-0.004,0.012,-0.007,0.008,0.01,0.027,-0.003,0.022,0.013,0.011,-0.005,0.007,0.005,0.006,0.007
5,-0.005,0,0.015,0.004,-0.005,0.018,0.015,0.047,0.009,0.011,0.016,0.002,0.02,0.006,-0.001,0.026,0.011
6,0.003,0.01,0.008,0,0.031,0.005,-0.015,0.008,0.009,0.026,0.009,0.004,0.014,0.038,0.028,0.003,0.011
7,-0.007,0.014,-0.016,0.019,0.001,0.012,-0.002,0.035,0.006,0.021,0.014,0.022,-0.004,0.014,-0.02,0.031,0.009
8,0.007,0.013,0.005,0.001,-0.002,0.032,0.002,0.028,0.017,0.016,0.01,0.009,-0.008,-0.003,0.012,-0.004,0.008
9,-0.014,-0.002,0.024,0.024,0.006,0.017,0.013,0.007,0.002,-0.008,-0.003,-0.003,0.003,0.023,0.036,0.044,0.011
10,-0.005,-0.002,-0.031,0.021,0.025,0.002,0.021,0.017,0.008,0.005,0.015,-0.006,0.023,0.02,0.022,0.026,0.01
11,0.012,0.027,0.001,0.018,-0.004,0.008,-0.03,0.06,0.019,-0.002,0.036,0.029,0.021,0.014,0.014,0.028,0.016
12,0.01,-0.004,0.014,0.031,0.022,-0.002,0.033,0.018,-0.005,0.013,0.033,-0.029,0.015,0.039,0.028,-0.003,0.013
13,0.002,0.034,0.006,0.005,-0.007,0.01,0.016,0.045,0.009,-0.002,-0.005,-0.025,0.019,0.011,0.003,-0.022,0.006
14,0.004,0.027,0.034,-0.003,0.021,0.007,0.013,0.028,0.012,-0.006,0.014,0.033,-0.004,0.002,0.016,0.001,0.012
15,-0.001,-0.007,0.026,0.03,0.016,0.015,0.009,0.005,0.017,0.017,0.031,0.018,0.018,0.018,0.041,0.042,0.019
16,0.021,0.025,0.033,0.027,0.009,0,0.019,-0.009,0.007,0.029,0.017,0.057,0.008,0.006,0.048,0.053,0.022
17,0.002,0.017,0.042,0.003,0.002,0.019,0.042,-0.006,0.023,0.004,0.009,0.02,-0.013,0.035,0.017,-0.02,0.012
18,0.045,0.021,0.017,0.027,0.025,-0.011,0.014,0.014,-0.002,-0.013,0.03,0.038,-0.018,0.012,-0.004,0.019,0.013
19,-0.003,0.007,0.052,-0.034,0.011,0.02,0.002,0.015,-0.007,0.051,0.06,0.015,0.007,0.015,0.011,-0.03,0.012
20,0.032,-0.004,0.024,-0.007,0.007,0.036,0.013,-0.006,-0.015,0.012,0.007,0.008,0.031,0.021,0.001,-0.01,0.009
21,-0.019,0.003,0.008,0.008,0.021,0.011,0.055,-0.009,0.044,0.024,0.042,0.029,-0.013,-0.024,-0.01,0.009,0.011
22,0.021,0.014,0.023,0.031,-0.008,0.01,0.02,-0.01,0.042,-0.005,0.033,0.027,-0.004,0.018,-0.023,0.092,0.018
23,0.014,0.014,-0.009,0.018,0.036,0.034,0.028,-0.004,0.019,0.062,0.029,-0.003,0.004,0.015,0.062,0.024,0.021
24,0.045,-0.016,0.033,0.031,0.024,0.072,-0.003,0.013,0.028,0.02,0.009,0.003,0.003,0.043,0.052,0.057,0.026
25,0.001,0.012,-0.001,-0.008,0.012,0.01,0.013,0.032,0.015,0.054,0.022,0.046,0.017,0.085,0.016,-0.007,0.02
26,-0.016,0.005,0.034,-0.026,0.053,-0.009,-0.017,0.001,0.014,0.015,0.075,0.055,0.044,0.036,-0.03,-0.01,0.014
27,-0.017,0.013,0.027,0.051,0.009,0.08,0.032,0.023,-0.005,0.002,0.03,-0.005,0.025,-0.002,0.065,0.044,0.023
28,0.017,0.012,0.003,0.054,0.006,0.007,-0.007,0.017,0.043,-0.046,0.004,0.022,0.056,0.066,0.083,0.045,0.024
29,0.018,0.016,0.021,0.074,0.026,-0.001,0.06,-0.064,0.032,0.016,0.066,0,0.043,0.017,0.013,-0.065,0.017
30,-0.007,0.015,0.005,0.024,-0.035,0.057,0.049,0.05,0.001,0.034,0.053,0.101,-0.007,-0.006,0.016,0.035,0.024
31,0.012,-0.029,0.015,0.031,0.016,0.031,0.072,0.031,0.031,0.039,0.018,0.015,0.013,0.003,0.035,-0.049,0.018
32,-0.003,0.039,0.081,0.031,0.064,0.027,0.051,0.122,0.02,0.055,-0.023,0.082,0.055,0.011,0.037,0.051,0.044
33,-0.03,-0.026,0.024,0.067,0.032,0.023,0.017,0.05,0.054,-0.02,0.026,-0.016,-0.053,-0.008,0.024,0.117,0.018
34,-0.004,0.074,0.045,0.014,0.011,0.084,0.036,-0.006,0.038,0.047,0.034,0.008,-0.026,-0.001,0.033,-0.046,0.021
35,0.023,0.012,0.031,0.045,0.013,0.079,0.065,0.04,0.005,0.014,0.086,0,0.035,0.001,-0.001,0.06,0.032
36,0.039,0.033,0.01,0.025,0.028,0.072,0.05,0.007,0.014,0.065,0.068,-0.045,0.039,0.023,0.06,-0.009,0.03
37,0.048,0.031,-0.012,0.1,0.057,0.04,0.007,0.04,-0.009,-0.025,0.022,0.051,0.007,0.017,0.032,0.043,0.028
38,0.008,0.041,0.068,-0.019,0.008,-0.035,0.047,0.029,0.022,0.002,0.094,0.084,0.03,0.037,0.046,-0.091,0.023
39,-0.01,0.008,-0.003,-0.011,0.029,0.015,-0.009,0.02,-0.01,-0.016,0.031,0.024,-0.012,0.038,-0.009,0.031,0.007
40,0.036,0.029,0.031,0.056,0.029,0.065,0.069,0.111,0.032,-0.006,0.031,0.019,-0.024,0.052,0.063,0.035,0.039
41,-0.004,0.059,0.009,-0.027,0.015,0.016,0.083,0.043,0.012,0.059,-0.041,0.07,0.044,0.032,0.051,-0.02,0.025
42,0.041,0.026,0.044,0.062,-0.011,0.051,0.003,0.069,0.04,-0.016,0.014,0.059,0.039,0.033,0.047,0.047,0.034
43,0.016,0.003,0.032,0.019,0.084,0.048,0.012,0.063,-0.007,0.036,-0.012,0.031,0.017,0.056,0.024,0.047,0.029
44,-0.016,0.027,0.08,0.025,0.074,0.017,0.034,0.098,0.013,0.071,0.074,0.139,0.015,0.047,0.021,-0.088,0.04
45,0.013,0.016,0.009,0.043,-0.009,-0.027,0.052,0.044,0.038,0.078,0.039,0.026,0.053,0,0.087,-0.044,0.026
46,-0.038,0.039,0.064,0.021,0.044,-0.004,0.023,0.045,0.014,0.004,0.098,0.064,-0.022,0.09,0.062,0.107,0.038
47,0.045,-0.037,0.018,0.115,0.005,0.099,0.063,0.037,0.015,0.07,-0.04,0.056,-0.006,0.067,0.037,0.064,0.038
48,-0.019,-0.013,0.004,0.04,-0.029,0.03,-0.009,-0.049,-0.004,0.083,0.02,0.086,0.035,-0.011,-0.009,0.068,0.014
49,0.03,0.031,0.11,-0.016,0.027,0.153,0.004,0.009,-0.001,0.107,0.076,0.056,0.063,-0.021,0.056,0.107,0.049
50,0.022,0.1,0.101,0.111,0.059,0.018,0.065,0.031,0.04,0.047,0.035,0.052,0.037,0.031,0.056,-0.032,0.048
51,0.061,-0.016,0.075,-0.031,0.07,0.071,0.027,0.042,0.072,-0.026,0.089,0.034,0.089,-0.008,0.071,0.039,0.041
52,0.042,0.106,0.083,-0.031,0.02,-0.004,0.065,0.065,0.006,0.001,0.079,0.001,0.063,0.012,0.059,0.102,0.042
53,0.015,0.121,0.061,0.119,0.036,0.02,0.049,0.028,0.009,0.045,-0.002,-0.07,0.054,0.047,0.076,-0.11,0.031
54,0.028,0.065,0.08,0.076,-0.013,-0.013,0.051,0.074,0.071,0.071,0.013,-0.063,0.082,0.01,0.037,0.065,0.04
55,0.035,-0.007,0.057,0.045,0.011,0.095,0.06,0.161,0.054,0.042,0.051,0.045,0.03,0.016,0.042,-0.048,0.043
56,0.05,0.098,0.08,-0.064,-0.007,-0.022,-0.011,0.051,0.059,0,0.094,-0.036,0.054,-0.018,0.008,0.077,0.026
57,-0.013,0.08,0.036,0.007,0.063,0.042,0.069,-0.017,0.023,0.037,0.047,-0.012,0.082,0.072,0.067,0.121,0.044
58,0.012,0.047,0.088,0.059,-0.009,0.018,0.096,0.017,0.083,0.089,0.059,0.066,-0.032,0.038,-0.022,-0.013,0.037
59,0.03,0.023,0.077,0.028,0.049,-0.021,0.112,0.041,0.031,-0.034,0.068,0.03,0.038,0.058,0.057,0.092,0.043
60,0.028,0.003,0.058,0.026,0.046,0.017,0.062,-0.018,0.023,0.046,0.1,0.012,0.04,0.142,0.019,0.036,0.04
61,0.03,0.055,0.071,0.012,0.086,-0.048,0.041,0.025,0.016,0.075,0.063,0.008,0.026,-0.013,0.041,0.098,0.037
62,0.034,0.002,0.017,0.04,0.087,0.089,0.042,0.069,0.039,0.049,0.074,-0.04,0.044,0.068,0.037,0.04,0.043
63,0.052,-0.022,0.012,0.078,-0.006,0.073,0.008,0.033,0.051,0.006,0.066,0.011,0.09,0.024,0.045,0.079,0.038
64,0.009,-0.005,0.099,0.016,0.048,0.029,0.089,0.096,0.047,0.045,0.078,0.018,0.048,0.048,0.174,0.002,0.053
65,0.015,0.067,0.08,-0.015,0.072,0.019,0.141,0.112,0.06,0.053,0.065,0.058,-0.01,-0.025,0.097,0.006,0.05
66,0.019,-0.062,0.006,0.035,-0.016,0.028,-0.003,0.061,0.07,0.025,0.11,0.006,0.09,0.015,0.074,0.068,0.033
67,0.004,-0.031,0.066,0.081,0.037,-0.017,0.062,-0.015,-0.002,0.059,0.026,0.077,0.03,0.066,0.063,0.045,0.034
68,0.02,0.019,0.058,0.057,0.034,0.055,0.104,0.042,0.046,0.046,0.076,-0.005,0.047,0.061,0.026,0.054,0.046
69,0.038,-0.013,0.063,0.17,0.072,0.114,0.089,0.034,0.025,0.014,0.034,0.018,0.042,0.012,0.034,0.072,0.051
70,0.019,0.034,0.103,0.005,0.034,0.027,0.002,0.054,0.036,-0.017,0.021,0.039,0.068,0.084,0.007,0.117,0.039
71,-0.02,-0.089,0.124,0.09,0.027,-0.047,0.005,-0.044,0.03,-0.082,0.081,0.034,0.071,0.034,0.025,0.01,0.016
72,0.046,0.072,0.047,0.035,0.049,0.058,0.038,-0.045,0.046,0.027,0.033,0.052,0.047,0.078,0.024,0.069,0.042
73,0.013,0.075,0.14,-0.024,0.046,0.053,-0.011,-0.029,0.018,0.01,0.02,-0.111,0.08,0.037,0.077,0.043,0.027
