Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.054,-0.026,0.037,0.092,0.051,-0.074,-0.094,0.063,-0.044,0.06,0.042,0.054,0.042,-0.01,0.041,0.038,0.014
2,0.066,0.069,-0.041,0.047,-0.013,-0.025,0.04,0.043,0.06,-0.02,0.029,0.052,-0.098,-0.027,-0.06,0.03,0.01
3,-0.015,0.043,0.087,0.091,-0.026,-0.046,-0.07,0.057,-0.075,0.023,-0.064,0.034,0.002,-0.079,-0.078,0.027,-0.006
4,-0.095,-0.016,-0.025,-0.08,-0.034,0.057,-0.066,0.043,-0.04,0.019,-0.083,0.023,-0.097,0.052,-0.02,-0.015,-0.024
5,0.017,0.076,0.075,0.038,0.002,-0.068,-0.018,-0.018,-0.027,-0.04,-0.093,-0.057,0.066,0.022,0.044,-0.014,0
6,-0.056,0.084,-0.095,-0.049,0.085,0.083,-0.089,-0.036,0.002,0.024,-0.047,0.076,-0.013,-0.039,0.09,0.022,0.003
7,0.044,-0.063,-0.074,-0.028,-0.008,0.081,0.067,-0.067,0.005,0.068,-0.01,0.042,0,0.025,-0.029,0.043,0.006
8,0.079,0.078,0.097,-0.097,0.02,-0.028,0.073,-0.062,-0.018,-0.066,-0.06,0.007,-0.058,0.008,-0.066,0.005,-0.006
9,0.055,0.022,0.021,-0.035,-0.057,0.018,0.054,0.057,0.099,-0.027,-0.059,-0.065,-0.035,0.056,0.082,-0.053,0.008
10,0.051,-0.062,-0.09,0.057,-0.027,0.05,-0.063,0,0.003,-0.078,0.028,-0.014,0.051,-0.007,0.064,-0.07,-0.007
11,0.064,0.069,0.091,0.075,-0.044,0.008,0.014,0.07,0.048,0.094,-0.083,0.094,-0.079,0.053,-0.049,-0.025,0.025
12,-0.084,0.026,-0.089,0.012,-0.032,0.051,0.019,-0.091,0.061,-0.053,-0.025,0.031,0.023,-0.099,0.093,-0.013,-0.011
13,0.046,0.073,-0.009,-0.083,-0.058,0.007,0.017,0.087,0.069,0.081,-0.1,0.095,-0.083,0.051,0.065,-0.072,0.012
14,-0.099,-0.009,0.085,-0.026,0.079,0.057,-0.021,0.034,0.023,0.08,-0.031,0.075,-0.005,-0.043,-0.073,-0.002,0.008
15,-0.093,-0.097,0.006,0.061,-0.017,0.01,-0.039,0.047,0.092,-0.054,-0.036,0.014,0.069,-0.044,0.001,0.012,-0.004
16,-0.082,-0.052,-0.059,0.067,0.089,0.033,-0.07,0.085,0.042,0.1,0.006,0.013,-0.065,0.01,-0.091,-0.002,0.002
17,0.055,0.062,0.07,-0.042,0.071,-0.051,0.092,0.024,0.01,-0.1,-0.002,0.039,-0.044,-0.079,-0.025,-0.076,0
18,-0.022,0.096,-0.068,0.001,0.069,0.046,-0.004,-0.042,0.024,0.042,-0.039,0.054,0.06,0.037,0.001,-0.019,0.015
19,-0.089,0.009,0.045,-0.004,0.018,-0.079,-0.085,0.035,-0.05,0.01,0.034,-0.002,-0.04,0.054,0.089,-0.063,-0.007
20,-0.006,0.037,-0.042,0.042,0.04,-0.066,0.017,0.046,0.076,-0.02,-0.089,-0.086,0.027,-0.003,0.089,0.091,0.01
21,0.031,-0.079,-0.021,-0.078,0.032,-0.032,0.041,-0.096,0.019,-0.041,0.075,-0.013,0.006,0.079,0.091,-0.032,-0.001
22,0.052,-0.028,0.08,-0.016,0.027,0.053,0.057,0.002,0.094,0.029,0.064,-0.03,0.017,-0.006,0.006,0.054,0.028
23,0.043,-0.054,-0.026,0.038,-0.048,-0.099,-0.08,0.002,0.027,0.049,-0.096,0.001,-0.048,-0.054,-0.067,0.054,-0.022
24,0.075,-0.073,-0.039,0.024,0.001,-0.081,-0.021,0.018,-0.092,0.042,-0.01,-0.054,0.043,-0.013,-0.057,-0.065,-0.019
25,0.08,0.029,0.027,0.053,0.074,-0.08,0.084,0.074,0.013,0.032,-0.057,0.083,0.048,0.031,0.058,-0.056,0.031
26,-0.033,0.053,0.066,-0.012,-0.027,-0.071,-0.028,0.058,-0.041,0.085,0.052,0.033,-0.084,0.057,-0.051,0.069,0.008
27,0.073,0.06,-0.015,0.063,0.017,-0.057,0.075,-0.024,0.096,-0.099,0.073,-0.094,0.027,-0.006,-0.002,0.071,0.016
28,0.004,-0.019,-0.007,0.021,0.021,-0.01,0.023,-0.091,0.018,0.05,-0.08,0.029,0.011,0.099,-0.057,-0.078,-0.004
29,0.045,0.009,0.087,0.093,-0.067,-0.087,0.082,-0.023,-0.007,0.001,-0.005,0.017,0.079,-0.077,-0.059,-0.029,0.004
30,-0.099,-0.09,-0.066,-0.021,-0.058,-0.085,0.025,-0.021,0.062,0.03,0.063,-0.069,0.069,0.048,-0.008,-0.086,-0.019
31,0.043,-0.019,-0.015,-0.067,0.09,-0.049,-0.073,0.049,-0.021,-0.045,0.052,-0.06,-0.057,0.008,0.064,-0.092,-0.012
32,-0.008,-0.081,0.002,-0.065,0.006,-0.047,-0.064,0.055,-0.07,-0.046,-0.021,-0.038,-0.004,0.014,0.056,-0.081,-0.024
33,-0.075,0.057,-0.072,-0.011,0.018,0.011,-0.094,0.071,-0.098,-0.093,-0.095,-0.093,-0.004,0.068,0.047,0.078,-0.018
34,0.061,0.073,-0.096,-0.055,0.053,0.002,0.056,0.005,-0.008,-0.058,-0.046,0.048,-0.068,-0.022,-0.057,-0.023,-0.008
35,-0.041,-0.078,-0.063,0.007,0.066,0.016,0.099,-0.075,-0.018,0.094,0.095,0.035,0.013,0.008,-0.031,-0.05,0.005
36,-0.003,-0.061,-0.072,-0.032,0.09,-0.026,0.004,0.062,0.032,0.049,0.066,0.04,0.096,-0.06,0.041,-0.018,0.013
37,0.036,-0.009,0.015,0.09,-0.084,-0.069,0.041,0.091,0.024,-0.063,-0.068,-0.005,-0.024,-0.064,0.071,-0.088,-0.007
38,-0.067,-0.001,0.04,-0.006,0.07,-0.047,-0.015,-0.066,-0.007,-0.092,0.08,0.047,0.086,-0.047,-0.038,0.04,-0.001
39,0.002,-0.031,-0.051,-0.023,0.072,-0.068,0.081,-0.045,0.037,-0.023,0.039,0.095,-0.086,-0.087,0.046,-0.072,-0.007
40,0.004,-0.007,0.023,-0.033,0.087,0.093,-0.015,0.029,0.02,0.067,0.059,-0.092,-0.092,0.038,-0.054,0.042,0.011
41,0.004,-0.059,-0.083,-0.01,0.095,-0.028,0.102,-0.075,-0.042,0.067,-0.093,0.028,0.046,0.079,0.066,-0.057,0.002
42,0.023,0.073,0.066,0.1,0.055,-0.073,-0.003,0.106,-0.082,0.058,-0.049,0.055,-0.1,0.044,0.007,0.029,0.019
43,0.053,-0.07,0.106,0.013,-0.034,-0.064,-0.069,-0.092,0.063,0.109,0.01,-0.01,0.008,-0.035,0.066,-0.082,-0.002
