Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.005,-0.003,-0.001,-0.007,-0.009,0.011,0.002,0.032,-0.012,0.023,-0.03,0.031,0.014,0.02,0.009,0.037,0.007
2,0.028,0.013,0.025,-0.015,-0.012,-0.004,0.024,0.018,0.023,0.031,0.006,0.022,0.034,0.034,-0.012,0.021,0.015
3,0,0.014,-0.024,-0.009,0.031,0.005,-0.009,0.014,-0.003,0.043,0.036,0.02,0.018,0.082,-0.004,0.042,0.016
4,0.008,0.032,-0.006,-0.004,0.008,0.041,-0.025,0.044,0.003,0.019,-0.019,0.077,0.042,0.051,-0.003,-0.003,0.017
5,0.008,-0.005,0.043,0,-0.004,0.002,-0.031,0.007,-0.01,-0.002,0.031,0.091,0.035,0.08,0.026,0.031,0.019
6,0.03,0.052,0.011,0.057,0.031,0.073,-0.027,0.067,-0.007,-0.004,0.009,0.063,0.087,0.065,-0.002,0.084,0.037
7,0.059,0.001,-0.003,-0.001,0.019,0.04,-0.022,0.081,0.008,0.103,-0.044,-0.005,0.005,0.1,0.044,0.072,0.029
8,0.009,-0.006,0.014,0.062,0.044,0.101,-0.015,0.062,0.033,0.126,0.043,0.077,0.084,0.015,0.025,-0.022,0.041
9,0.046,0.056,0.001,0.056,0.039,0.078,0.006,0.073,0.053,0.073,-0.003,0.054,-0.001,0.099,0.113,0.078,0.051
10,-0.017,0.114,0.019,0.015,-0.003,0.06,0.017,-0.105,0,0.166,-0.006,-0.014,0.047,0.182,0.06,-0.048,0.03
11,0.005,0.027,0.065,-0.076,0.023,0.04,0.018,0.043,-0.008,0.038,-0.037,-0.074,0.019,0.156,0.021,0.01,0.017
12,0.007,0.059,0.044,0.029,0.037,0.085,0.019,0.147,0.026,0.113,-0.061,0.049,0.127,0.237,0.063,0.164,0.072
13,0.043,0.068,-0.055,0.022,-0.05,0.04,0.037,-0.021,-0.052,0.128,0.028,0.149,0.022,0.196,0.021,0.085,0.041
14,0.064,0.017,0.002,0.098,0.082,0.059,0.044,0.104,0.044,0.136,-0.093,0.048,0.037,0.07,-0.107,0.195,0.05
15,-0.013,0.12,-0.02,0.055,-0.046,0.098,-0.017,0.029,0.011,-0.009,0.146,0.002,0.018,0.153,0.034,0.101,0.041
16,0.009,0.044,0.023,0.103,0.026,0.131,0.143,0.035,0.011,-0.013,0.062,0.013,0.072,0.135,0.05,-0.049,0.05
17,-0.028,-0.02,0.001,-0.041,-0.005,0.106,0.074,-0.041,0.023,0.138,0.033,0.124,-0.086,0.127,-0.001,0.175,0.036
18,0.006,0.062,-0.024,-0.058,0.069,0.125,-0.018,0.131,-0.065,0.043,0.031,-0.286,0.06,0.212,0.035,0.073,0.025
19,-0.025,0.07,-0.024,0.03,0.012,0.112,0.004,0.087,0.057,0.206,-0.075,0.015,0.045,0.236,0.034,-0.005,0.049
20,0.076,0.002,0.067,0.041,0.026,0.224,-0.013,0.015,0.014,0.172,-0.004,-0.232,0.071,0.19,-0.034,0.149,0.048
21,0.048,-0.113,-0.005,0.106,0.027,0.149,-0.028,0.035,0.03,-0.016,-0.024,-0.084,0.019,0.236,-0.086,0.118,0.026
22,0.053,-0.03,0.015,0.072,0.027,0.091,0.033,0.082,-0.009,0.023,0.031,0.036,0.039,0.252,0.028,0.077,0.051
23,0.022,0.011,0.007,0.055,0.006,0.175,0.052,0.078,-0.072,-0.018,0.049,-0.111,0.025,0.105,0.142,0.172,0.044
24,-0.027,0.08,0.025,-0.036,0.087,0.092,-0.085,0.216,-0.015,0.225,-0.038,0.102,0.069,0.127,0.06,0.031,0.057
25,-0.016,0.065,-0.008,-0.073,0.092,0.126,0.037,0.09,-0.01,-0.041,-0.003,0.124,-0.023,0.101,0.093,0.159,0.045
26,0.107,0.141,0.069,0.052,0.058,0.106,-0.139,0.026,-0.03,0.019,0.044,0.023,0.107,0.138,-0.031,-0.236,0.028
27,0.087,0.133,-0.012,0.079,0.002,0.177,0.013,0.106,-0.017,0.18,0.012,0.13,0.037,0.071,-0.061,0.288,0.077
28,0.055,0.008,-0.043,0.034,0.029,0.092,-0.103,0.054,0.029,0.056,0.06,0.08,0.076,0.104,0.059,0.011,0.038
29,-0.054,0.167,-0.069,0.277,0.056,0.18,-0.042,0.173,-0.075,0.107,-0.072,0.081,0.098,0.128,-0.115,0.268,0.069
30,-0.003,0.087,0.171,-0.05,-0.095,0.032,0.129,0.165,-0.008,0.072,0.063,0.011,0.081,0.135,-0.088,0.108,0.051
31,-0.072,0.041,0.067,0.011,0.045,0.292,0.069,0.065,-0.042,0.063,-0.177,0.025,-0.064,0.226,-0.066,0.026,0.032
32,0.091,0.082,0,0.127,-0.002,0.139,-0.042,0.092,-0.019,0.157,0.007,0.039,0.017,0.199,0.012,0.07,0.061
33,0.015,-0.009,-0.121,0.018,0.052,0.298,-0.069,0.03,0.069,-0.161,-0.023,-0.134,0.027,0.24,0.015,0.08,0.02
34,-0.011,0.173,-0.084,-0.007,0.124,0.142,0.038,0.033,0.015,0.014,-0.004,-0.131,-0.025,0.245,-0.025,-0.042,0.028
35,0.058,-0.016,0.054,0.094,-0.033,0.228,-0.147,0.027,0.109,0.015,0.042,0.142,-0.038,0.134,0.065,0.167,0.056
36,0.03,0.009,0.11,-0.055,0.096,0.077,0.029,0.166,0.027,0.245,-0.088,0.138,0.058,0.124,0.232,0.158,0.085
37,-0.01,0.16,-0.081,0.133,0.093,0.172,0.196,0.126,-0.046,0.013,-0.017,0.074,0.092,0.183,-0.053,0.257,0.081
38,0.034,0.099,0.018,-0.104,0.088,0.184,0.098,0.092,0.063,0.152,-0.026,0.17,0.032,0.118,0.059,0.037,0.07
39,-0.002,0.117,0.02,0.013,-0.066,0.16,0.033,0.06,0.133,0.293,0.092,0.072,-0.118,0.032,-0.008,0.049,0.055
40,-0.109,0.137,0.041,0.011,0.013,0.194,0.205,0.064,0.048,0.196,0.022,-0.043,0.055,0.241,0.105,-0.017,0.073
41,0.01,0.143,0.13,0.095,0.061,0.223,-0.104,-0.07,0.079,0.113,-0.028,0.051,0.095,0.217,0,0.039,0.066
42,0.028,0.058,-0.089,0.196,0.02,0.219,0.005,0.168,-0.053,-0.02,-0.096,0.243,-0.11,0.176,-0.099,0.056,0.044
43,0.082,0.226,0.029,0.111,-0.008,0.1,0.025,0.237,0.027,0.048,0.047,0.049,0.074,0.288,-0.154,0.103,0.08
44,0.08,0.054,0.122,-0.011,-0.046,0.149,-0.064,0.125,0.012,0.244,-0.039,0.053,0.128,0.155,0.022,0.197,0.074
45,0.131,0.087,0.072,0.09,-0.077,0.164,0.06,-0.035,-0.056,0.121,-0.026,0.055,0.035,0.223,-0.094,-0.024,0.045
46,0.019,0.036,0.004,-0.02,-0.056,0.299,0.161,-0.044,0.043,0.244,0.059,-0.005,-0.049,0.136,-0.097,0.15,0.055
47,0.057,0.044,-0.087,-0.002,-0.076,0.162,0.071,0.2,0.041,0.109,-0.112,-0.12,0.061,0.075,-0.014,-0.097,0.02
48,0.048,0.234,-0.041,0.084,-0.018,0.155,-0.058,0.014,-0.003,-0.066,0.099,0.125,0.053,0.117,-0.131,0.059,0.042
49,0.016,0.154,-0.089,-0.023,0.001,0.152,-0.101,-0.07,-0.033,0.156,0.077,-0.116,0.05,0.123,0.142,-0.183,0.016
50,-0.015,0.183,0.209,-0.131,0.036,0.237,0.018,-0.062,0.069,0.284,-0.092,0.15,0.106,0.126,-0.125,0.233,0.077
51,0.102,0.077,-0.022,0.196,0.075,0.019,0.218,0.254,0.103,0.137,0.066,0.053,-0.092,0.21,0.035,0.128,0.097
52,0.026,-0.04,-0.072,-0.143,-0.099,0.116,-0.021,0.137,-0.083,0.152,0.114,0.23,0.092,0.231,0.021,0.076,0.046
53,0.053,0.108,-0.033,-0.086,-0.034,0.276,-0.09,0.087,0.019,0.202,-0.005,-0.046,-0.012,0.086,0.207,-0.249,0.03
54,0.004,0.165,0.143,0.054,0.002,0.109,0.111,0.243,-0.019,0.147,-0.016,0.056,0.162,0.107,0.057,0.181,0.094
55,0.046,0.287,-0.056,-0.055,0.029,0.272,-0.08,0.025,0.01,0.181,-0.101,-0.043,0.036,0.249,0.047,-0.004,0.053
56,-0.011,0.251,-0.035,0.197,0.02,0.247,0.013,-0.039,0.101,-0.126,0.024,0.138,-0.022,0.103,-0.067,-0.157,0.04
57,-0.037,0.06,-0.042,-0.142,-0.035,0.059,-0.096,-0.222,-0.246,0.099,-0.092,0.085,0.265,0.142,-0.09,-0.122,-0.026
58,-0.062,0.297,-0.101,-0.007,0.184,0.162,0.218,0.156,0.066,0.152,-0.038,-0.121,0.059,0.07,-0.125,0.262,0.073
59,0.043,0.263,0.096,-0.065,0.067,0.08,-0.114,0.079,0.049,0.162,0.084,-0.182,-0.111,0.284,0.024,-0.063,0.044
60,0.14,0.108,-0.019,0.069,0.028,0.123,0.032,0.138,0.025,-0.016,-0.085,-0.013,-0.17,0.105,-0.1,-0.234,0.008
61,0.064,0.085,-0.136,-0.013,-0.104,0.085,0.15,0.024,-0.105,0.021,0.064,0.225,0.071,0.117,0.012,-0.18,0.024
62,-0.082,0.051,0.026,-0.049,0.071,0.109,-0.122,0.097,0.128,0.214,0.025,0.014,0.066,0.296,-0.029,-0.132,0.043
63,0.116,0.027,-0.012,0.117,0.094,0.222,0.264,0.176,-0.011,-0.037,-0.015,0.15,0.015,0.105,-0.056,-0.118,0.065
64,-0.02,0.109,-0.088,0.108,0.086,0.237,-0.161,0.127,-0.065,0.003,-0.11,0.186,0.019,-0.003,-0.081,0.015,0.023
65,-0.015,0.153,-0.092,-0.067,0.211,0.08,0.018,-0.026,0.227,0.184,-0.087,0.219,-0.051,0.134,0.155,0.282,0.083
66,-0.034,0.162,-0.01,0.079,-0.018,0.191,0.041,0.042,0.111,-0.1,0.038,-0.171,0.146,0.273,0.049,0.233,0.065
67,0.022,0.147,0.078,0.163,-0.184,0.115,-0.101,0.186,0.167,0.245,0.007,0.115,0.026,0.164,0.14,0.246,0.096
68,-0.102,0.234,0.082,-0.078,0.055,0.1,-0.053,0.16,0.122,-0.078,0.066,-0.219,-0.181,0.075,-0.287,0.276,0.011
69,0.026,0.001,0.072,-0.046,0.012,0.216,-0.085,-0.2,-0.054,0.068,-0.048,0.257,0.124,0.126,-0.144,0.194,0.032
70,-0.078,0.246,0.116,0.046,-0.069,0.222,-0.106,0.021,-0.205,0.115,0.105,0.177,-0.027,0.282,-0.126,-0.066,0.041
71,-0.043,0.141,0.007,0.068,0.296,0.093,-0.058,-0.045,-0.235,0.264,-0.144,0.113,0.126,0.09,-0.049,0.058,0.043
72,0.034,0.239,-0.144,-0.229,0.106,0.077,0.275,-0.272,0.183,0.117,0.042,-0.001,-0.059,0.046,-0.011,0.065,0.029
73,0.027,0.036,0.146,-0.113,-0.021,0.108,-0.098,0.171,-0.036,0.101,0.108,-0.183,-0.063,0.078,0.177,0.085,0.033
74,-0.168,0.022,0.125,-0.106,0.007,0.278,-0.016,0.141,0.072,0.259,0.252,0.081,0.135,0.146,-0.022,-0.121,0.068
75,0.048,0.001,-0.107,-0.144,0.039,0.13,-0.137,0.284,0.146,-0.044,-0.098,0.149,-0.041,0.286,-0.204,-0.107,0.013
76,-0.04,-0.105,0.086,0.005,-0.029,0.293,-0.043,0.245,0,-0.1,-0.125,-0.142,0.095,0.103,0.25,0.212,0.044
77,-0.145,0.107,0.131,0.188,0.006,0.184,0.01,0.202,0.097,0.104,-0.081,0.112,0.009,0.148,0.026,-0.004,0.068
78,0.092,0.111,-0.094,0.213,0.155,0.175,-0.021,0.131,0.059,0.141,-0.01,0.251,0.011,0.233,0.181,0.089,0.107
79,0.072,0.167,0.078,-0.283,0.099,0.139,-0.022,0.121,0.048,0.09,-0.06,-0.048,-0.151,0.163,0.1,0.151,0.042
80,0.057,0.298,-0.002,-0.048,-0.03,0.252,-0.171,0.248,0.142,0.098,0.21,0.291,-0.097,0.125,0.079,0.119,0.098
81,0.036,-0.018,-0.159,0.086,-0.032,0.161,0.032,0.143,-0.102,0.21,0.001,0.073,0.005,0.131,-0.109,0.024,0.03
82,0.082,0.136,0.059,-0.179,-0.085,0.16,0.132,0.203,-0.089,0.102,0.202,0.123,-0.15,0.09,0.069,-0.04,0.051
83,-0.125,-0.025,-0.24,0.195,-0.121,0.135,-0.192,0.143,0.068,-0.096,-0.104,0.095,0.12,0.279,-0.086,0.154,0.013
84,0.045,0.104,0.031,0.073,0.148,0.187,-0.235,-0.094,0.13,0.077,-0.075,-0.148,0.282,-0.145,-0.11,0.285,0.035
85,-0.015,0.019,0.147,0.07,-0.086,0.244,0.115,0.13,-0.156,0.107,0.101,0.125,0.072,0.077,-0.053,0.171,0.067
86,-0.076,-0.076,0.08,-0.122,0.015,0.148,-0.083,-0.145,-0.054,-0.03,0.023,-0.033,0.176,0.063,0.135,-0.11,-0.006
87,0.003,0.203,-0.009,0.046,-0.12,0.117,-0.136,0.255,-0.077,0.229,0.02,0.055,-0.156,0.141,-0.032,-0.159,0.024
