Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.001,-0.002,-0.004,0.011,0.005,0,0.004,0.004,0,-0.001,0.014,0.003,0,0.017,0.002,-0.001,0.003
2,-0.002,-0.005,-0.007,0.011,0.013,0.018,0.006,-0.002,-0.002,-0.003,0.019,-0.003,0.003,0.021,0.003,0.01,0.005
3,-0.004,-0.007,-0.008,-0.006,0.008,-0.001,0.013,0.014,-0.003,-0.003,0.01,0.016,0.001,0.008,0.006,0.019,0.004
4,0.007,0.026,0.026,0.017,0.013,0.023,0.026,0.035,-0.005,0.002,0.011,0.002,0.027,0.013,-0.004,0.001,0.014
5,-0.003,0.002,0.018,-0.012,-0.004,0.035,0.024,0.002,0.006,-0.001,-0.002,-0.012,0.005,0.018,0.004,0.011,0.006
6,0.007,0.033,0.033,0.02,-0.004,0.034,0.036,0.032,0.014,-0.003,0.006,-0.006,0.002,0.005,0.015,0.02,0.015
7,0.007,-0.008,-0.018,0.004,0.001,0.006,-0.005,0.036,-0.001,-0.008,-0.017,-0.018,0.009,0.004,0.038,0.043,0.004
8,0.023,0.003,-0.005,0.015,-0.014,0.018,0.012,0.091,0.04,-0.012,-0.008,0.062,0.003,0.007,0.015,0.007,0.016
9,0.005,0.021,-0.002,0.039,0.005,-0.003,0.037,-0.001,-0.007,-0.02,0.03,-0.006,-0.005,0.016,-0.026,-0.018,0.004
10,-0.018,-0.02,0.038,0.046,0.012,0.023,0.04,-0.018,0.005,0.034,0.004,-0.023,0.008,0.006,-0.015,0.025,0.009
11,0.027,0.014,-0.009,-0.004,-0.006,0.071,0.013,-0.026,0.018,0.015,-0.004,-0.028,-0.009,0.002,0.01,0.05,0.008
12,-0.017,0.001,0.001,0.032,0.03,0.042,-0.015,-0.019,-0.021,0.014,0.033,-0.004,0.003,0.031,0.025,0.003,0.009
13,-0.023,-0.009,0.05,-0.019,0.016,0.018,-0.001,0.028,-0.027,-0.005,-0.013,0.007,0.007,0.049,-0.008,-0.001,0.004
14,0.015,-0.01,0.046,-0.027,0.012,0,0.022,0.002,0.024,0.025,-0.022,-0.008,0.02,0.07,0.011,0.018,0.012
15,0.028,-0.011,-0.001,-0.006,-0.021,0.048,0.013,0.015,0.03,0.021,0.061,0.048,0.021,0.04,0.012,0.055,0.022
16,-0.017,-0.014,0.027,-0.005,0.019,0.011,0.006,-0.011,-0.008,0.006,0.014,0.053,-0.007,-0.002,0.01,0.041,0.007
17,-0.007,0.056,-0.046,0.053,0.01,0.004,0.016,0.02,0.016,-0.013,0.026,0.033,0.005,0.014,0.021,0.006,0.013
18,0.032,-0.014,0.013,-0.024,-0.009,-0.006,0.021,0.02,0.015,0.014,-0.013,0.046,0.01,0.008,0.029,-0.014,0.008
19,0.02,0.072,0.034,-0.023,0.02,0.028,0.042,0.047,-0.018,0.012,0.02,-0.046,0.046,0.049,0.065,-0.011,0.022
20,-0.038,0.014,-0.044,0.063,-0.008,0.005,-0.023,0.032,-0.017,0.015,0,0.101,0.053,-0.044,0.015,0.075,0.012
21,0.03,0.006,0.002,0.051,0.017,-0.002,0.01,0.031,-0.007,-0.006,0.017,-0.017,0.02,0.043,-0.037,-0.006,0.009
22,-0.007,0.053,0.064,0.019,-0.009,0.003,0.102,-0.029,-0.001,0.001,0.053,-0.035,0.015,-0.016,-0.009,0.01,0.013
23,0.026,0.037,0.026,0.042,0.002,0.03,0.013,0.044,0.049,-0.01,-0.001,0.057,-0.009,0.001,0.118,-0.047,0.023
24,0.031,-0.018,-0.008,0.021,0.044,0.019,0.066,0.057,0.018,0.025,0.027,-0.068,-0.016,0.077,0.023,0.06,0.022
25,0.032,-0.003,0.027,0.008,0.026,0.071,-0.046,0.015,-0.015,0.039,-0.036,0.047,-0.021,0.05,-0.003,0.061,0.016
26,0.01,0,0.078,0.059,0.019,0.038,0.01,0.099,-0.011,0.003,0.029,-0.004,0.014,0.032,0.043,0.075,0.031
27,-0.007,0.054,0.022,0.048,0.016,-0.007,0.013,0.033,0.027,-0.037,0.014,-0.021,-0.014,0.03,0.015,0.039,0.014
28,0.008,0.073,0.029,-0.034,0.055,0.114,0.008,0.078,-0.048,0.009,0.07,-0.051,0.007,0.062,0.066,0.089,0.033
29,0.035,0.068,0.019,-0.028,0.002,0,-0.013,-0.023,-0.008,-0.01,0.047,-0.004,0.008,-0.013,0.052,-0.025,0.007
30,-0.005,-0.02,-0.04,-0.006,0.015,0.005,0.041,0.066,-0.007,0.071,-0.046,0.052,0.063,0.035,0.05,0.044,0.02
31,0.014,0.055,0.001,-0.02,0.056,0.018,0.048,0.067,0.013,0.032,-0.017,0.084,0.057,0.003,0.102,0.044,0.035
32,0.001,0.04,-0.011,0.038,0.017,0.047,0.002,0.059,0.017,0.035,0.058,0.022,-0.009,0.021,0.096,-0.039,0.025
33,0.044,-0.033,-0.001,-0.065,0.068,0.074,0.031,0.011,0.07,0.011,-0.021,0.005,0.016,0.004,0.027,0.036,0.017
34,-0.014,0.018,0.012,0.052,0.031,0.053,-0.009,0.028,-0.011,-0.009,0.059,0.067,0.004,0.001,-0.012,-0.063,0.013
35,0.006,0.042,0.058,0.011,-0.019,0.002,0.027,0.03,-0.025,0.059,-0.019,-0.016,0.021,0.049,0.026,-0.012,0.015
36,0.032,-0.025,-0.096,0.07,-0.003,0.09,-0.026,0.076,0.01,-0.012,0.009,0.105,0.017,0.096,-0.032,0.007,0.02
