Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.002,0,0.007,0.001,0.002,0,0.001,0.001,0.001,0.008,0.002,0.014,-0.001,0.002,-0.002,0.012,0.003
2,0.007,-0.001,-0.002,0.004,-0.005,0.009,-0.003,0.001,-0.003,0.003,-0.003,-0.002,0.005,0.007,-0.007,0.001,0.001
3,0.005,0.002,0.002,0.014,-0.001,0.016,0.008,0.01,0.007,0.003,0.006,-0.004,0.012,0,0.004,0.004,0.005
4,0.012,0.006,-0.012,-0.003,0.01,0.02,0.006,-0.01,0.006,0.017,-0.003,0.019,-0.001,-0.005,-0.004,0.034,0.006
5,0.011,0.021,-0.002,-0.003,0.003,0.013,-0.008,0.032,0.003,0.01,-0.003,-0.001,0.008,0.004,0,-0.013,0.005
6,0.01,0.019,-0.01,0.014,0.018,0.01,0,0.006,-0.002,0.011,0.011,0.013,0.007,0.002,0.005,0.028,0.009
7,0.001,0.006,0.035,0.022,0.007,-0.003,0.028,0.002,0.002,0.01,-0.003,0.032,0.01,-0.003,0.007,0.015,0.011
8,-0.01,-0.002,0.003,0.022,0.032,0.013,0.014,0.029,0.009,0.01,-0.017,0.01,-0.004,0.033,0.024,-0.014,0.01
9,0.009,0.004,-0.012,0.018,-0.004,0.014,-0.013,-0.003,-0.012,-0.005,-0.015,0.02,0.014,-0.002,-0.008,0.004,0.001
10,0.032,-0.011,-0.015,-0.014,-0.003,0.045,0.007,0.015,0,0.032,-0.012,-0.027,-0.009,0.01,0.017,0.013,0.005
11,0.012,0.02,0.025,0.021,-0.003,0.035,0.024,0.02,-0.001,0.029,0.017,-0.011,0.019,0.001,0.036,0.023,0.017
12,0.023,0.028,-0.006,-0.012,0.02,0.036,-0.024,-0.009,-0.001,0.016,0.012,0.036,0.006,-0.006,-0.011,-0.01,0.006
13,-0.014,0.016,0.025,-0.001,0.048,0.013,-0.012,0.021,-0.003,0.035,0,0.051,0.001,0.013,0.029,0.012,0.015
14,0.015,0.025,0.023,0.016,0.001,0.038,-0.008,0.027,0.001,0,0.045,0.01,0.021,0.035,0.006,0.067,0.02
15,-0.01,0.039,0.005,-0.02,0.002,0.022,0.035,0.018,-0.005,0.019,0.005,0.013,-0.023,0.026,0.021,0.007,0.01
16,0.011,-0.013,0.002,0.043,0.009,0.006,-0.011,0.042,-0.012,0.013,0.049,0.004,0.031,0.025,-0.003,-0.006,0.012
