Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.068,0.03,-0.065,-0.034,-0.033,-0.024,0.014,-0.004,0.088,-0.057,0.037,-0.048,-0.061,-0.015,0.057,0.042,-0.009
2,0.013,0.017,-0.089,0.021,-0.042,-0.014,0.085,0.011,0.072,0.006,-0.063,0.042,-0.031,-0.062,0.091,-0.059,0
3,-0.034,-0.067,-0.059,-0.003,0.01,-0.018,-0.062,-0.029,0.036,-0.092,-0.049,0.039,-0.077,0.003,0.067,0.037,-0.019
4,-0.086,0.081,-0.037,0.038,0.056,0.023,-0.004,0.088,0.025,0.088,0.043,0.031,-0.081,-0.015,0.089,0.029,0.023
5,-0.049,0.052,0.065,0.024,0.086,0.007,0.039,-0.087,0.068,0.093,0.074,-0.019,0.073,-0.026,-0.04,-0.081,0.017
6,-0.024,0.082,0.003,-0.066,-0.089,-0.028,-0.039,-0.02,0.013,0.083,0.045,0.002,0.067,0.016,0.074,-0.093,0.002
7,0.056,0.023,0.096,-0.073,-0.077,-0.004,0.029,-0.015,-0.02,0.059,-0.01,-0.075,-0.079,0.021,0.065,0.093,0.006
8,0.001,-0.025,0.067,-0.019,0.082,-0.028,0.088,-0.098,-0.016,-0.049,0.063,-0.045,-0.014,0.01,-0.039,-0.03,-0.003
9,-0.006,0.016,-0.095,-0.015,0.086,0.057,0.029,-0.038,0.039,-0.033,-0.068,-0.058,0.026,0.081,0.075,0.078,0.011
10,0.056,-0.029,0.075,0.067,-0.016,0.042,-0.052,0.082,-0.04,-0.027,-0.008,0.093,0.025,0.016,0.098,0.078,0.029
11,0.002,-0.039,0.06,0.028,0.091,-0.042,-0.098,-0.066,-0.034,0.081,-0.068,0.032,-0.033,0.093,-0.002,0.061,0.004
12,0.064,0.003,0.021,0.043,0.03,-0.094,0.089,-0.01,0.024,-0.069,0.068,0.057,0.096,0.051,0.064,0.068,0.032
13,-0.056,-0.08,-0.016,0.017,-0.057,-0.006,-0.032,-0.085,0.024,-0.046,-0.021,0.064,-0.025,0.069,-0.05,0.027,-0.017
14,0.03,-0.024,-0.037,-0.059,-0.069,-0.034,0,-0.012,0.064,0.033,-0.095,-0.071,0.077,-0.073,0.056,-0.065,-0.017
15,-0.011,0.052,-0.046,-0.067,0.013,0.023,0.075,0.006,-0.004,0.039,0.092,-0.083,-0.011,0.033,-0.071,-0.058,-0.001
16,0.1,0.098,-0.085,0.029,0.064,-0.007,0.036,-0.085,0.046,0.026,-0.068,0.092,-0.017,-0.054,0.085,-0.033,0.014
17,-0.026,-0.077,-0.006,0.078,-0.046,0.075,-0.052,-0.017,-0.065,0.098,0.02,-0.058,0.041,-0.058,-0.029,0.034,-0.005
18,-0.031,-0.021,0.029,0.023,0.025,-0.093,-0.015,0.023,-0.081,-0.023,0.061,0.047,-0.066,-0.049,-0.049,0.051,-0.011
19,-0.003,-0.029,0.051,0.022,0.029,0.015,-0.043,0.05,-0.096,-0.073,-0.078,-0.099,-0.054,-0.092,-0.026,-0.048,-0.03
20,-0.092,-0.073,-0.013,-0.014,0.005,0.06,-0.04,-0.056,0.058,0.016,0.072,-0.024,0.063,0.009,0.022,-0.064,-0.004
21,0.093,0.017,0.083,-0.02,-0.045,-0.063,-0.1,-0.061,-0.047,0.092,-0.042,0.024,0.089,-0.083,0.014,0.091,0.003
22,-0.075,-0.003,0.01,-0.014,0.005,-0.052,-0.068,0.025,-0.068,0.077,0.075,-0.038,0.049,-0.022,-0.062,0.007,-0.01
23,0.012,-0.006,-0.006,0.014,0.1,0.027,0.09,-0.09,0.094,-0.038,0.044,-0.017,-0.023,-0.076,-0.075,-0.002,0.003
24,-0.042,0.065,-0.08,-0.037,0.065,0.082,-0.02,0.018,0.007,-0.043,0.045,-0.028,-0.07,0.095,-0.098,-0.083,-0.008
25,-0.085,0.092,0.084,-0.022,0.015,-0.051,-0.035,0.04,0.036,0.077,0.044,0.094,-0.038,0.088,0.085,-0.004,0.026
26,0.075,0.059,-0.015,-0.081,-0.067,0.008,-0.012,0.015,-0.013,0.072,0.057,-0.033,-0.027,-0.084,0.046,-0.075,-0.005
27,-0.025,-0.089,0.077,-0.025,0.067,0.088,-0.093,-0.041,0.094,0.03,0.098,-0.084,0.012,0.066,-0.044,-0.015,0.007
28,-0.089,-0.086,-0.031,-0.062,0.015,-0.018,-0.085,0.018,-0.038,0.09,0.067,-0.024,0.097,0.053,0.018,0.082,0
29,-0.013,0.059,0.007,0.089,0.068,0.045,-0.042,0.06,-0.009,-0.055,0.025,0.027,-0.075,-0.052,-0.015,0.082,0.013
30,-0.014,-0.015,-0.052,0.007,0.064,0.011,0.078,-0.075,0.1,-0.062,-0.031,0.035,-0.096,-0.032,-0.038,-0.059,-0.011
31,0.024,0.084,0.017,0.084,-0.082,-0.031,-0.054,0.061,-0.082,-0.064,0.028,-0.014,0.093,0.037,0.018,-0.095,0.002
32,-0.031,-0.099,0.016,-0.061,-0.023,-0.071,-0.039,0.017,-0.001,0.002,-0.003,-0.047,0.003,0.079,0.033,0.082,-0.009
33,0.074,0.084,-0.063,-0.013,-0.04,0.055,-0.049,0.007,0.071,0.076,0.08,-0.096,0.092,-0.012,-0.061,-0.042,0.01
34,0.004,-0.079,-0.004,0.014,0.082,-0.04,0.067,-0.041,-0.024,0,0.057,-0.033,0.041,-0.082,-0.069,-0.002,-0.007
35,0.082,0.008,-0.055,-0.07,-0.041,-0.004,0.003,-0.039,0.008,0.088,0.06,-0.024,0.047,-0.004,0.008,-0.037,0.002
36,0.046,-0.072,-0.056,-0.04,-0.086,0.049,0,0.041,-0.064,0.041,0.03,0.04,-0.061,-0.078,0.073,0.013,-0.008
37,-0.031,0.083,0.096,0.033,-0.08,-0.016,-0.051,0.045,-0.075,-0.067,0.089,0.06,0.007,0.014,0.06,-0.049,0.007
