Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.039,0.008,0.051,-0.062,-0.002,-0.042,-0.014,0.09,-0.036,0.027,0.012,-0.085,-0.038,-0.003,-0.029,0.047,-0.002
2,0.018,-0.027,-0.062,0.06,-0.035,-0.01,-0.005,-0.002,0.058,-0.028,-0.025,0.054,0.068,0.094,0.04,-0.089,0.007
3,0.099,-0.044,0.021,0.031,-0.064,-0.009,-0.093,0.082,0.003,-0.075,0.099,0.034,-0.018,-0.061,-0.072,0.091,0.002
4,0.096,-0.048,-0.029,0.084,0.027,0.1,-0.016,0.011,0.076,0.015,-0.069,-0.049,-0.039,-0.06,0.029,-0.02,0.007
5,0.068,0.01,-0.054,0.043,-0.057,0.005,0.076,0.092,0.058,-0.071,0.028,0.06,0.064,-0.037,0.006,-0.012,0.017
6,0.056,0.002,0.06,0.016,0.025,0.097,-0.049,0.013,0.02,-0.043,-0.051,-0.043,0.07,0.037,-0.094,-0.08,0.002
7,0.068,0.047,-0.099,0.017,0.017,-0.027,-0.054,0.09,-0.054,0.041,0.002,-0.067,-0.073,0.001,0.095,0.04,0.003
8,0.028,0.062,0.072,0.065,0.057,-0.086,-0.1,-0.011,0.012,0.017,-0.061,0.099,0.061,-0.081,-0.034,-0.096,0
9,0.022,0.048,-0.064,0.023,0.006,-0.027,0.045,0.05,0.035,0.089,0.042,0.062,0.046,0.084,0.055,-0.06,0.028
10,0.007,0.012,-0.018,-0.066,-0.047,0.002,-0.09,-0.045,0.023,0.028,0.021,0.039,0.08,0.094,-0.018,0.023,0.003
11,0.041,0.041,-0.091,-0.01,-0.006,-0.016,0.07,-0.012,-0.073,-0.055,-0.013,-0.067,0.036,0.067,0.009,-0.092,-0.011
12,-0.011,0.091,-0.059,-0.015,0.071,-0.067,-0.023,0.052,-0.09,0.046,0.076,0,0.024,-0.067,0.087,-0.065,0.003
13,-0.068,-0.08,0.066,0.051,-0.073,0.025,0.099,0.022,-0.011,0.069,0.069,0.072,0.093,0.021,-0.064,0.002,0.018
14,-0.052,0.028,0.086,-0.027,0.048,0.078,0.061,-0.087,0.026,-0.012,0.053,-0.07,-0.079,-0.089,-0.046,0.058,-0.002
15,0.011,-0.044,0.037,0.07,-0.007,0.053,0.089,-0.012,-0.089,0.029,0.067,-0.018,-0.05,-0.097,0.051,0.037,0.008
